scoring_function,scoring_version,cohort_definition,cutoff_date,n_ti_pairs,n_approved,n_failed,auc,auc_lo,auc_hi,brier,r10,p10,rs10,ece,notes
logreg_family_v1,v3_robust,ti_phase1plus_strict_holdout_target,,13639,403,13236,0.813,0.783,0.838,0.123,0.596,0.176,13.25,0.263,"LogReg + target-family one-hot + family x ClinGen interactions, Phase 1+ strict, GroupKFold on target"
logreg_family_v1,v3_robust,ti_phase1plus_strict_holdout_target,,13639,403,13236,0.813,0.783,0.838,0.123,0.596,0.176,13.25,0.263,"LogReg + target-family one-hot + family x ClinGen interactions, Phase 1+ strict, GroupKFold on target"
logreg_interactions_v1,v3_robust,ti_phase1plus_strict_holdout_target,,13639,403,13236,0.812,0.786,0.842,0.121,0.576,0.170,12.21,0.271,"LogReg L2 + interactions, Phase 1+ strict, GroupKFold"
logreg_strict_ablate_no_context,v3_strict,ti_phase2plus_strict,,8035,403,7632,0.811,,,,,,,,"Ablate context, strict outcome, LogReg. Full AUC=0.828, delta=-0.0177"
logreg_l2_v1,v1,ti_phase2plus,,2611,741,1870,0.809,0.793,0.825,0.154,0.297,0.843,3.80,0.050,"5-fold CV OOF, mean fold AUC=0.809"
randomforest_v1_timemachine,v1,ti_phase2plus_test_post_2017,2017-01-01,1745,368,1377,0.806,0.785,0.835,0.154,0.277,0.586,3.46,0.137,"Trained on pre-2017-01-01 T-I pairs (n=593), tested on post-2017-01-01"
logreg_holdout_target_v1,v3_holdout_target,ti_phase2plus_strict_holdout_target,,8035,403,7632,0.804,0.780,0.830,0.128,0.573,0.287,12.08,0.263,Group 5-fold CV by target_id — all T-Is sharing a target in same fold. Tests generalization to unseen targets.
xgboost_final_v1,v3_robust,ti_phase1plus_strict_holdout_target,,13639,403,13236,0.803,0.775,0.830,0.034,0.571,0.169,11.96,0.107,"XGBoost 300 trees, depth 4, on Phase 1+ strict + interactions, GroupKFold"
lightgbm_v2_time_cutoff_precedent,v2,ti_phase2plus_test_post_2017_time_cutoff_precedent,2017-01-01,1745,368,1377,0.797,0.775,0.820,0.179,0.299,0.632,3.85,0.155,"Time-machine v2, variant=time_cutoff_precedent, cutoff=2017-01-01, train n=593"
lightgbm_v1_timemachine,v1,ti_phase2plus_test_post_2017,2017-01-01,1745,368,1377,0.795,0.771,0.822,0.177,0.291,0.615,3.70,0.152,"Trained on pre-2017-01-01 T-I pairs (n=593), tested on post-2017-01-01"
catboost_final_v1,v3_robust,ti_phase1plus_strict_holdout_target,,13639,403,13236,0.795,0.768,0.824,0.076,0.576,0.170,12.21,0.216,"CatBoost 300 iter, depth 4, on Phase 1+ strict + interactions, GroupKFold"
lightgbm_strict_v1,v2_strict,ti_phase2plus_strict,,8035,403,7632,0.794,0.767,0.822,0.080,0.568,0.285,11.84,0.132,STRICT per-T-I approval — approved for THIS indication specifically. Fixes loose/loose ground-truth caveat.
randomforest_strict_v1,v2_strict,ti_phase2plus_strict,,8035,403,7632,0.790,0.763,0.817,0.128,0.548,0.275,10.92,0.295,STRICT per-T-I approval — approved for THIS indication specifically. Fixes loose/loose ground-truth caveat.
lightgbm_v2_drop_landscape,v2,ti_phase2plus_test_post_2017_drop_landscape,2017-01-01,1745,368,1377,0.786,0.763,0.815,0.180,0.299,0.632,3.85,0.167,"Time-machine v2, variant=drop_landscape, cutoff=2017-01-01, train n=593"
logreg_strict_timemachine_v1,v3_strict_time_cutoff,ti_phase2plus_strict_post_2017,2017-01-01,5410,46,5364,0.770,0.656,0.876,0.007,0.609,0.052,14.00,0.016,"STRICT per-T-I outcome + time-cutoff family precedent, cutoff=2017-01-01, train n=2311"
logreg_strict_timemachine_v1,v3_strict_time_cutoff,ti_phase2plus_strict_post_2019,2019-01-01,3522,26,3496,0.769,0.651,0.888,0.005,0.577,0.043,12.28,0.007,"STRICT per-T-I outcome + time-cutoff family precedent, cutoff=2019-01-01, train n=4199"
