target_id,symbol,ensembl_id
1362,IL33,ENSG00000137033
1365,GATA2,ENSG00000179348
1369,TTR,ENSG00000118271
1377,IL1B,ENSG00000125538
1382,IL1A,ENSG00000115008
1387,IP6K1,ENSG00000176095
1390,PTGER2,ENSG00000125384
1400,CYP11B2,ENSG00000179142
1402,TYMS,ENSG00000176890
1411,TFRC,ENSG00000072274
1419,PDCD1,ENSG00000188389
1420,CFD,ENSG00000197766
1421,SNCA,ENSG00000145335
1425,ENPP1,ENSG00000197594
1432,LAG3,ENSG00000089692
1436,CFH,ENSG00000000971
1443,APEX1,ENSG00000100823
1454,TREM2,ENSG00000095970
1467,TP53,ENSG00000141510
1471,TNFSF13B,ENSG00000102524
1485,SOD1,ENSG00000142168
1487,IL12B,ENSG00000113302
1488,SERPINA3,ENSG00000196136
1489,TF,ENSG00000091513
1500,TBXT,ENSG00000164458
1502,SSTR2,ENSG00000180616
1514,TSLP,ENSG00000145777
1520,HTR1A,ENSG00000178394
1522,FABP3,ENSG00000121769
1526,RXFP1,ENSG00000171509
1527,ITGB7,ENSG00000139626
1528,RXFP2,ENSG00000133105
1553,CEACAM5,ENSG00000105388
1556,CD274,ENSG00000120217
1590,IL1RL1,ENSG00000115602
1614,IFNG,ENSG00000111537
1620,APLNR,ENSG00000134817
1625,PDGFRB,ENSG00000113721
1635,NOTCH1,ENSG00000148400
1642,HAMP,ENSG00000105697
1644,ANPEP,ENSG00000166825
1646,SELPLG,ENSG00000110876
1653,IFNA2,ENSG00000188379
1655,IL2RB,ENSG00000100385
1657,SLC6A4,ENSG00000108576
1663,APOC2,ENSG00000234906
1679,ROCK2,ENSG00000134318
1687,MAPK1,ENSG00000100030
1691,COL1A1,ENSG00000108821
1692,SIK2,ENSG00000170145
1694,AQP9,ENSG00000103569
1702,P4HB,ENSG00000185624
1706,IL2RA,ENSG00000134460
1713,EPHB2,ENSG00000133216
1716,HMGB1,ENSG00000189403
1717,NPR1,ENSG00000169418
1719,FCGR3A,ENSG00000203747
1726,ITGB2,ENSG00000160255
1746,CD68,ENSG00000129226
1759,EGFR,ENSG00000146648
1796,TACR3,ENSG00000169836
1802,IL2RG,ENSG00000147168
1807,IL5,ENSG00000113525
1808,COMP,ENSG00000105664
1822,SNAP25,ENSG00000132639
1833,CP,ENSG00000047457
1845,PRKAR2B,ENSG00000005249
1849,FGFR2,ENSG00000066468
1866,SELL,ENSG00000188404
1867,HES6,ENSG00000144485
1885,PARP1,ENSG00000143799
1886,IL2,ENSG00000109471
1894,ALPP,ENSG00000163283
1904,F8,ENSG00000185010
1906,SYK,ENSG00000165025
1910,OCA2,ENSG00000104044
1911,ACAT1,ENSG00000075239
1913,CYP11B1,ENSG00000160882
1917,FASLG,ENSG00000117560
1921,IL23R,ENSG00000162594
1931,HAVCR2,ENSG00000135077
1933,EZH2,ENSG00000106462
1937,HGF,ENSG00000019991
1957,F7,ENSG00000057593
1961,MSTN,ENSG00000138379
1974,IL15,ENSG00000164136
1982,GPR26,ENSG00000154478
2014,AOC3,ENSG00000131471
2026,ACP5,ENSG00000102575
2033,CTNND1,ENSG00000198561
2040,IL10,ENSG00000136634
2053,KCNA3,ENSG00000177272
2069,BTK,ENSG00000010671
2077,GATM,ENSG00000171766
2078,NFE2L2,ENSG00000116044
2090,CCR1,ENSG00000163823
2099,CX3CR1,ENSG00000168329
2100,CT45A3,ENSG00000269096
2121,NIPSNAP2,ENSG00000146729
2129,DRD2,ENSG00000149295
2143,ADCYAP1,ENSG00000141433
2153,TXN,ENSG00000136810
2158,AQP3,ENSG00000165272
2164,KRAS,ENSG00000133703
2181,LANCL1,ENSG00000115365
2185,DRD5,ENSG00000169676
2234,PRKAA1,ENSG00000132356
2247,BCL2,ENSG00000171791
2258,TYK2,ENSG00000105397
2268,HSD11B1,ENSG00000117594
2273,SLC10A2,ENSG00000125255
2285,C5AR1,ENSG00000197405
2290,TGOLN2,ENSG00000152291
2291,STAT3,ENSG00000168610
2293,CHRM3,ENSG00000133019
2301,BCHE,ENSG00000114200
2308,CPD,ENSG00000108582
2321,CEACAM6,ENSG00000086548
2351,APOL1,ENSG00000100342
2356,CCL18,ENSG00000275385
2365,IL7R,ENSG00000168685
2378,ICAM2,ENSG00000108622
2393,ABL1,ENSG00000097007
2399,PTEN,ENSG00000171862
2406,MAT1A,ENSG00000151224
2407,EIF4G2,ENSG00000110321
2408,OAZ2,ENSG00000180304
2424,KBTBD13,ENSG00000234438
2425,BMP2,ENSG00000125845
2429,GP1BB,ENSG00000203618
2430,AZGP1,ENSG00000160862
2431,BSN,ENSG00000164061
2434,CFAP97D1,ENSG00000231256
2437,DSP-AS1,ENSG00000261189
2443,MGLL,ENSG00000074416
2445,CCR5,ENSG00000160791
2453,ACAT2,ENSG00000120437
2457,PIK3CD,ENSG00000171608
2458,PIK3CA,ENSG00000121879
2467,MALT1,ENSG00000172175
2496,CCL17,ENSG00000102970
2515,KEAP1,ENSG00000079999
2537,BAAT,ENSG00000136881
2546,VIM,ENSG00000026025
2553,UOX,ENSG00000240520
2554,S100B,ENSG00000160307
2557,ETFB,ENSG00000105379
2559,CRHR1,ENSG00000120088
2578,CYP3A4,ENSG00000160868
2616,DNMT1,ENSG00000130816
2626,F5,ENSG00000198734
2646,S1PR1,ENSG00000170989
2672,FMO5,ENSG00000131781
2684,FGFR1,ENSG00000077782
2695,SCN2A,ENSG00000136531
2720,HSP90AA1,ENSG00000080824
2721,FOLH1,ENSG00000086205
2728,TADA1,ENSG00000152382
2729,ATP6V0A1,ENSG00000033627
2731,SEMA4D,ENSG00000187764
2736,RET,ENSG00000165731
2739,IL12A,ENSG00000168811
2751,PTH1R,ENSG00000160801
2764,SRRM5,ENSG00000226763
2777,RAF1,ENSG00000132155
2793,NR3C2,ENSG00000151623
2801,TLR9,ENSG00000239732
2812,NKX2-5,ENSG00000183072
2813,GZMA,ENSG00000145649
2814,FXN,ENSG00000165060
2818,ACHE,ENSG00000087085
2820,AGTR2,ENSG00000180772
2858,HDAC4,ENSG00000068024
2859,DGAT2,ENSG00000062282
2863,ADGRG7,ENSG00000144820
2864,ACTA2,ENSG00000107796
2866,CAV2,ENSG00000105971
2867,BCR,ENSG00000186716
2875,GMPS,ENSG00000163655
2876,GZMB,ENSG00000100453
2878,JAK2,ENSG00000096968
2936,KIT,ENSG00000157404
2949,TLR3,ENSG00000164342
2951,IL21,ENSG00000138684
2957,TRPV1,ENSG00000196689
2958,GPX3,ENSG00000211445
2970,MAPK8,ENSG00000107643
2998,SESN2,ENSG00000130766
3000,PSMB8,ENSG00000204264
3035,ACAA1,ENSG00000060971
3038,RHO,ENSG00000163914
3080,GNB3,ENSG00000111664
3095,SIGMAR1,ENSG00000147955
3142,DHCR24,ENSG00000116133
3148,PIERCE2,ENSG00000261652
3151,PDGFB,ENSG00000100311
3154,ROS1,ENSG00000047936
3182,SLC9A3,ENSG00000066230
3190,ACADS,ENSG00000122971
3201,UBE3A,ENSG00000114062
3211,MME,ENSG00000196549
3258,CD19,ENSG00000177455
3265,GBA1,ENSG00000177628
3274,RPSA,ENSG00000168028
3282,EREG,ENSG00000124882
3284,MAOB,ENSG00000069535
3291,MS4A1,ENSG00000156738
3298,GSK3B,ENSG00000082701
3299,ERBB3,ENSG00000065361
3301,HTR2A,ENSG00000102468
3305,TGFBR1,ENSG00000106799
3323,CXCR2,ENSG00000180871
3324,HDAC3,ENSG00000171720
3331,TNFSF11,ENSG00000120659
3370,GAA,ENSG00000171298
3384,P2RX7,ENSG00000089041
3391,VIP,ENSG00000146469
3395,TRPC6,ENSG00000137672
3397,FGFR3,ENSG00000068078
3428,CSF2RB,ENSG00000100368
3440,RRM1,ENSG00000167325
3453,THRB,ENSG00000151090
3455,IGLC2,ENSG00000211677
3467,CD9,ENSG00000010278
3471,SMN1,ENSG00000172062
3474,LGALS3BP,ENSG00000108679
3476,GSR,ENSG00000104687
3477,CTNNB1,ENSG00000168036
3480,CCL26,ENSG00000006606
3512,FLT3,ENSG00000122025
3517,CYP3A5,ENSG00000106258
3529,FASN,ENSG00000169710
3532,MAPKAPK2,ENSG00000162889
3541,KCNJ8,ENSG00000121361
3543,MAP3K5,ENSG00000197442
3548,MASP2,ENSG00000009724
3558,TMSB4X,ENSG00000205542
3569,TAF8,ENSG00000137413
3571,NR1H4,ENSG00000012504
3575,EFNB2,ENSG00000125266
3581,MYH7,ENSG00000092054
3591,PVR,ENSG00000073008
3592,PTGER4,ENSG00000171522
3612,GRIN1,ENSG00000176884
3619,CD38,ENSG00000004468
3625,MET,ENSG00000105976
3634,PROC,ENSG00000115718
3636,ZNF606,ENSG00000166704
3647,ACP3,ENSG00000014257
3654,ADRA2A,ENSG00000150594
3656,NLRC4,ENSG00000091106
3666,EPHB1,ENSG00000154928
3678,LDHA,ENSG00000134333
3684,LILRB2,ENSG00000131042
3691,DMD,ENSG00000198947
3696,SIRT2,ENSG00000068903
3697,IRAK1,ENSG00000184216
3703,TIGIT,ENSG00000181847
3709,STING1,ENSG00000184584
3733,TAS2R50,ENSG00000212126
3754,APP,ENSG00000142192
3770,CD80,ENSG00000121594
3773,BAD,ENSG00000002330
3789,SLC6A2,ENSG00000103546
3795,CD44,ENSG00000026508
3809,APOBEC1,ENSG00000111701
3819,CCN2,ENSG00000118523
3823,GLP2R,ENSG00000065325
3830,IL3RA,ENSG00000185291
3841,HTR1B,ENSG00000135312
3867,NTRK1,ENSG00000198400
3871,XK,ENSG00000047597
3886,AKR1A1,ENSG00000117448
3892,ATR,ENSG00000175054
3893,RIPK1,ENSG00000137275
3899,IDH1,ENSG00000138413
3925,ALPL,ENSG00000162551
3927,RARA,ENSG00000131759
3930,GATA3,ENSG00000107485
3955,CAPN1,ENSG00000014216
3966,ATF4,ENSG00000128272
3968,GHSR,ENSG00000121853
4041,NR4A3,ENSG00000119508
4044,TRIM55,ENSG00000147573
4082,TNFSF13,ENSG00000161955
4100,IL1RAP,ENSG00000196083
4104,DCTN3,ENSG00000137100
4129,LIPT1,ENSG00000144182
4139,CCR3,ENSG00000183625
4146,PGR,ENSG00000082175
4166,NR4A2,ENSG00000153234
4179,MYL4,ENSG00000198336
4184,ADRA1A,ENSG00000120907
4187,CPT1B,ENSG00000205560
4188,EGLN1,ENSG00000135766
4206,EEF2,ENSG00000167658
4281,BPI,ENSG00000101425
4285,MAPK8IP3,ENSG00000138834
4299,CD70,ENSG00000125726
4300,ITGB1,ENSG00000150093
4303,NRP1,ENSG00000099250
4319,AAMP,ENSG00000127837
4336,DCT,ENSG00000080166
4337,DECR1,ENSG00000104325
4338,GPC3,ENSG00000147257
4358,ESRRA,ENSG00000173153
4373,HCRTR1,ENSG00000121764
4419,DRD4,ENSG00000069696
4420,AURKA,ENSG00000087586
4423,ANK1,ENSG00000029534
4433,GRIN3A,ENSG00000198785
4448,IRAK4,ENSG00000198001
4451,CFI,ENSG00000205403
4452,CTSC,ENSG00000109861
4465,CSF1R,ENSG00000182578
