symbol,n_phenotypes,release,release_date
AADAC,1,12.0,2020-10-06
AAMP,1,12.0,2020-10-06
ABCA1,6,12.0,2020-10-06
ABCA2,2,12.0,2020-10-06
ABCC8,1,12.0,2020-10-06
ABCD1,0,12.0,2020-10-06
ABHD14B,0,12.0,2020-10-06
ABO,0,12.0,2020-10-06
ABRAXAS2,7,12.0,2020-10-06
ACAT2,5,12.0,2020-10-06
ACE,9,12.0,2020-10-06
ACHE,2,12.0,2020-10-06
ACKR3,4,12.0,2020-10-06
ACTG1,5,12.0,2020-10-06
ADGRG7,0,12.0,2020-10-06
ADORA1,6,12.0,2020-10-06
ADORA2A,2,12.0,2020-10-06
ADRA2A,9,12.0,2020-10-06
AGFG2,0,12.0,2020-10-06
AGTR2,0,12.0,2020-10-06
AHCYL1,10,12.0,2020-10-06
AIFM3,1,12.0,2020-10-06
ALDH1A3,3,12.0,2020-10-06
ALDH1B1,1,12.0,2020-10-06
AMPD3,0,12.0,2020-10-06
ANGPTL3,10,12.0,2020-10-06
AOC1,9,12.0,2020-10-06
AOPEP,1,12.0,2020-10-06
APLNR,7,12.0,2020-10-06
APP,6,12.0,2020-10-06
AQP3,7,12.0,2020-10-06
AQP9,2,12.0,2020-10-06
AREL1,1,12.0,2020-10-06
ATF4,10,12.0,2020-10-06
ATP1A4,0,12.0,2020-10-06
ATP2A1,1,12.0,2020-10-06
ATP2A2,5,12.0,2020-10-06
ATP2B1,7,12.0,2020-10-06
ATP6V0A1,9,12.0,2020-10-06
ATP6V1B1,2,12.0,2020-10-06
ATR,5,12.0,2020-10-06
AURKA,10,12.0,2020-10-06
AVPR1A,1,12.0,2020-10-06
BAAT,5,12.0,2020-10-06
BBS1,8,12.0,2020-10-06
BBS2,0,12.0,2020-10-06
BCKDHA,6,12.0,2020-10-06
BCL7A,3,12.0,2020-10-06
BDKRB1,6,12.0,2020-10-06
BLOC1S6,7,12.0,2020-10-06
BPI,3,12.0,2020-10-06
BRD8,1,12.0,2020-10-06
BUB1,4,12.0,2020-10-06
C1QA,2,12.0,2020-10-06
C3,4,12.0,2020-10-06
CACNA1B,8,12.0,2020-10-06
CACNA1C,1,12.0,2020-10-06
CACNA1I,6,12.0,2020-10-06
CACNA2D1,13,12.0,2020-10-06
CACNB2,2,12.0,2020-10-06
CALCB,7,12.0,2020-10-06
CALCR,0,12.0,2020-10-06
CAV2,1,12.0,2020-10-06
CCL26,3,12.0,2020-10-06
CD19,6,12.0,2020-10-06
CD300LD,0,12.0,2020-10-06
CD5L,3,12.0,2020-10-06
CDC7,8,12.0,2020-10-06
CDK4,10,12.0,2020-10-06
CDK9,14,12.0,2020-10-06
CEACAM5,1,12.0,2020-10-06
CFAP97D1,0,12.0,2020-10-06
CFD,0,12.0,2020-10-06
CFH,1,12.0,2020-10-06
CFI,1,12.0,2020-10-06
CHEK2,2,12.0,2020-10-06
CHRNA7,3,12.0,2020-10-06
CLPP,49,12.0,2020-10-06
CNR1,6,12.0,2020-10-06
COL13A1,1,12.0,2020-10-06
COL16A1,3,12.0,2020-10-06
COL9A2,11,12.0,2020-10-06
COL9A3,4,12.0,2020-10-06
COX6A1,0,12.0,2020-10-06
CP,5,12.0,2020-10-06
CPB1,1,12.0,2020-10-06
CPT2,6,12.0,2020-10-06
CRLS1,1,12.0,2020-10-06
CRYBB3,3,12.0,2020-10-06
CSF2RB,1,12.0,2020-10-06
CTSK,13,12.0,2020-10-06
CUL4A,11,12.0,2020-10-06
CX3CR1,0,12.0,2020-10-06
CXCR2,38,12.0,2020-10-06
CYP17A1,32,12.0,2020-10-06
DCT,3,12.0,2020-10-06
DGUOK,7,12.0,2020-10-06
DHCR24,0,12.0,2020-10-06
DHFR,14,12.0,2020-10-06
DHODH,4,12.0,2020-10-06
DMP1,6,12.0,2020-10-06
DNAH9,0,12.0,2020-10-06
DNTT,6,12.0,2020-10-06
DPP4,4,12.0,2020-10-06
DPYD,5,12.0,2020-10-06
DRD3,3,12.0,2020-10-06
DUSP26,0,12.0,2020-10-06
EDNRA,3,12.0,2020-10-06
EFNA4,2,12.0,2020-10-06
EGFR,0,12.0,2020-10-06
EIF4G2,12,12.0,2020-10-06
EPHB1,12,12.0,2020-10-06
EPHB2,4,12.0,2020-10-06
ERBB2,0,12.0,2020-10-06
ESR2,15,12.0,2020-10-06
ESRRA,7,12.0,2020-10-06
EZH2,0,12.0,2020-10-06
F10,3,12.0,2020-10-06
F2,8,12.0,2020-10-06
F7,5,12.0,2020-10-06
FDX1,2,12.0,2020-10-06
FGFR1,5,12.0,2020-10-06
FNTA,7,12.0,2020-10-06
FOLH1,3,12.0,2020-10-06
FOLR1,28,12.0,2020-10-06
FXN,3,12.0,2020-10-06
GABRA2,5,12.0,2020-10-06
GART,4,12.0,2020-10-06
GATA2,11,12.0,2020-10-06
GATM,25,12.0,2020-10-06
GBE1,0,12.0,2020-10-06
GCGR,9,12.0,2020-10-06
GCK,9,12.0,2020-10-06
GCKR,4,12.0,2020-10-06
GDF15,1,12.0,2020-10-06
GHSR,0,12.0,2020-10-06
GLP1R,1,12.0,2020-10-06
GLRA2,4,12.0,2020-10-06
GLRB,6,12.0,2020-10-06
GMPR,1,12.0,2020-10-06
GNB3,0,12.0,2020-10-06
GP1BB,14,12.0,2020-10-06
GPR119,4,12.0,2020-10-06
GPR20,0,12.0,2020-10-06
GPR22,5,12.0,2020-10-06
GPR39,7,12.0,2020-10-06
GPRC5D,1,12.0,2020-10-06
GPX3,2,12.0,2020-10-06
GRAMD1C,4,12.0,2020-10-06
GRIA2,3,12.0,2020-10-06
GRIK3,4,12.0,2020-10-06
GRIN1,0,12.0,2020-10-06
GRIN2B,2,12.0,2020-10-06
GRIN3A,1,12.0,2020-10-06
GRM1,0,12.0,2020-10-06
GRM7,3,12.0,2020-10-06
GYPC,1,12.0,2020-10-06
HAS3,0,12.0,2020-10-06
HAVCR2,4,12.0,2020-10-06
HCAR2,3,12.0,2020-10-06
HDAC1,7,12.0,2020-10-06
HDAC11,0,12.0,2020-10-06
HDAC3,1,12.0,2020-10-06
HDAC4,0,12.0,2020-10-06
HLCS,2,12.0,2020-10-06
HNRNPAB,7,12.0,2020-10-06
HPGD,0,12.0,2020-10-06
HRH1,1,12.0,2020-10-06
HRH4,5,12.0,2020-10-06
HSF1,3,12.0,2020-10-06
HSP90AA1,6,12.0,2020-10-06
HTR1A,3,12.0,2020-10-06
HTR1B,6,12.0,2020-10-06
HTR3A,0,12.0,2020-10-06
HTR4,1,12.0,2020-10-06
HTRA3,0,12.0,2020-10-06
IDH1,3,12.0,2020-10-06
IDH2,1,12.0,2020-10-06
IFNAR1,12,12.0,2020-10-06
IFNG,10,12.0,2020-10-06
IFNLR1,3,12.0,2020-10-06
IL10RA,6,12.0,2020-10-06
IL12A,5,12.0,2020-10-06
IL13,7,12.0,2020-10-06
IL15,2,12.0,2020-10-06
IL17A,0,12.0,2020-10-06
IL18,4,12.0,2020-10-06
IL1A,0,12.0,2020-10-06
IL1R2,4,12.0,2020-10-06
IL1RL1,0,12.0,2020-10-06
IL21,6,12.0,2020-10-06
IL22RA1,0,12.0,2020-10-06
IL23R,2,12.0,2020-10-06
IL2RA,31,12.0,2020-10-06
IL2RB,2,12.0,2020-10-06
IL31RA,4,12.0,2020-10-06
IL33,8,12.0,2020-10-06
IL6,1,12.0,2020-10-06
INO80,7,12.0,2020-10-06
IRAK1,3,12.0,2020-10-06
ITGA2,4,12.0,2020-10-06
JAK3,2,12.0,2020-10-06
KCNA10,11,12.0,2020-10-06
KCNJ8,0,12.0,2020-10-06
KCNMA1,5,12.0,2020-10-06
KCNQ5,0,12.0,2020-10-06
KCNT1,6,12.0,2020-10-06
KDM1A,10,12.0,2020-10-06
KIF26B,10,12.0,2020-10-06
