symbol,n_phenotypes,release,release_date
KLKB1,7,12.0,2020-10-06
LDHA,2,12.0,2020-10-06
LEPR,69,12.0,2020-10-06
LGALS3,0,12.0,2020-10-06
LHCGR,10,12.0,2020-10-06
LIPT1,3,12.0,2020-10-06
LPAR1,3,12.0,2020-10-06
LPP,1,12.0,2020-10-06
LRRK2,0,12.0,2020-10-06
MAOB,1,12.0,2020-10-06
MAP2K2,1,12.0,2020-10-06
MAPK1,1,12.0,2020-10-06
MAPK11,0,12.0,2020-10-06
MAPKAPK2,8,12.0,2020-10-06
MAPT,8,12.0,2020-10-06
MARCKS,0,12.0,2020-10-06
MC1R,6,12.0,2020-10-06
MGLL,1,12.0,2020-10-06
MME,2,12.0,2020-10-06
MMP9,3,12.0,2020-10-06
MOGAT2,8,12.0,2020-10-06
MPDZ,12,12.0,2020-10-06
MPO,0,12.0,2020-10-06
MTNR1B,2,12.0,2020-10-06
MTOR,1,12.0,2020-10-06
MYO18B,4,12.0,2020-10-06
NBEAL1,1,12.0,2020-10-06
NCBP1,3,12.0,2020-10-06
NDRG3,8,12.0,2020-10-06
NDUFB8,1,12.0,2020-10-06
NFAT5,3,12.0,2020-10-06
NFKB1,0,12.0,2020-10-06
NGRN,1,12.0,2020-10-06
NIPSNAP2,0,12.0,2020-10-06
NOS3,6,12.0,2020-10-06
NOTCH1,2,12.0,2020-10-06
NPFF,2,12.0,2020-10-06
NR2F6,3,12.0,2020-10-06
NRP1,2,12.0,2020-10-06
NTRK1,1,12.0,2020-10-06
NUPR1,0,12.0,2020-10-06
OAZ2,2,12.0,2020-10-06
OPRL1,0,12.0,2020-10-06
OSM,5,12.0,2020-10-06
OTULIN,8,12.0,2020-10-06
OXTR,0,12.0,2020-10-06
P2RX7,1,12.0,2020-10-06
P4HB,4,12.0,2020-10-06
PAH,9,12.0,2020-10-06
PARD3,5,12.0,2020-10-06
PARP1,10,12.0,2020-10-06
PARP12,9,12.0,2020-10-06
PCSK9,6,12.0,2020-10-06
PDE3B,2,12.0,2020-10-06
PDE4C,4,12.0,2020-10-06
PDE5A,0,12.0,2020-10-06
PDGFRB,5,12.0,2020-10-06
PIGF,4,12.0,2020-10-06
PIK3CG,0,12.0,2020-10-06
PLA2G10,7,12.0,2020-10-06
PLEKHA3,3,12.0,2020-10-06
PLOD3,13,12.0,2020-10-06
POLE3,0,12.0,2020-10-06
POLR3D,4,12.0,2020-10-06
PPARA,3,12.0,2020-10-06
PPARG,3,12.0,2020-10-06
PPP3CA,0,12.0,2020-10-06
PRDM15,0,12.0,2020-10-06
PRKAA2,2,12.0,2020-10-06
PTGER2,1,12.0,2020-10-06
PTH1R,4,12.0,2020-10-06
PVR,0,12.0,2020-10-06
RAF1,3,12.0,2020-10-06
RPS6KA1,2,12.0,2020-10-06
RPTOR,2,12.0,2020-10-06
RRM1,6,12.0,2020-10-06
RXFP2,18,12.0,2020-10-06
S100B,0,12.0,2020-10-06
SCN11A,1,12.0,2020-10-06
SCN4A,3,12.0,2020-10-06
SELL,1,12.0,2020-10-06
SEMA3D,1,12.0,2020-10-06
SEMA4D,7,12.0,2020-10-06
SIGMAR1,0,12.0,2020-10-06
SIK2,1,12.0,2020-10-06
SIRT2,0,12.0,2020-10-06
SLC10A1,0,12.0,2020-10-06
SLC10A2,1,12.0,2020-10-06
SLC17A9,2,12.0,2020-10-06
SLC22A4,1,12.0,2020-10-06
SLC29A1,20,12.0,2020-10-06
SLC5A2,3,12.0,2020-10-06
SLC5A5,6,12.0,2020-10-06
SLC6A2,4,12.0,2020-10-06
SLC6A3,7,12.0,2020-10-06
SLC6A5,11,12.0,2020-10-06
SLC9A3,4,12.0,2020-10-06
SMO,14,12.0,2020-10-06
SNCA,3,12.0,2020-10-06
SNX21,0,12.0,2020-10-06
SORT1,1,12.0,2020-10-06
SQLE,1,12.0,2020-10-06
SRD5A2,8,12.0,2020-10-06
SSTR2,3,12.0,2020-10-06
STBD1,2,12.0,2020-10-06
STING1,1,12.0,2020-10-06
SYK,6,12.0,2020-10-06
TACR3,0,12.0,2020-10-06
TADA1,2,12.0,2020-10-06
TAF8,6,12.0,2020-10-06
TARBP1,1,12.0,2020-10-06
TDRKH,1,12.0,2020-10-06
TFRC,13,12.0,2020-10-06
THRA,28,12.0,2020-10-06
TLR4,6,12.0,2020-10-06
TMEM97,1,12.0,2020-10-06
TNFRSF17,11,12.0,2020-10-06
TNKS2,2,12.0,2020-10-06
TOMM20,3,12.0,2020-10-06
TOP2A,11,12.0,2020-10-06
TRDMT1,5,12.0,2020-10-06
TRIM55,0,12.0,2020-10-06
TRPA1,2,12.0,2020-10-06
TRPC5,1,12.0,2020-10-06
TRPC6,0,12.0,2020-10-06
TSLP,0,12.0,2020-10-06
TTC39A,5,12.0,2020-10-06
TUBB4A,0,12.0,2020-10-06
TYK2,2,12.0,2020-10-06
TYMS,0,12.0,2020-10-06
UBE3A,13,12.0,2020-10-06
XK,3,12.0,2020-10-06
XPO1,2,12.0,2020-10-06
