symbol,pan_essential,release,release_date
AAMP,1,23Q2,2023-06-02
ACTG1,1,23Q2,2023-06-02
AMD1,1,23Q2,2023-06-02
ATP2A2,1,23Q2,2023-06-02
ATR,1,23Q2,2023-06-02
AURKA,1,23Q2,2023-06-02
BRD8,1,23Q2,2023-06-02
BUB1,1,23Q2,2023-06-02
CDC7,1,23Q2,2023-06-02
CDK4,1,23Q2,2023-06-02
CDK7,1,23Q2,2023-06-02
CDK9,1,23Q2,2023-06-02
COG8,1,23Q2,2023-06-02
COX6A1,1,23Q2,2023-06-02
DCTN3,1,23Q2,2023-06-02
DHFR,1,23Q2,2023-06-02
DHX36,1,23Q2,2023-06-02
DKC1,1,23Q2,2023-06-02
DNMT1,1,23Q2,2023-06-02
DPAGT1,1,23Q2,2023-06-02
EEF1G,1,23Q2,2023-06-02
EEF2,1,23Q2,2023-06-02
EIF4G2,1,23Q2,2023-06-02
FNTA,1,23Q2,2023-06-02
FXN,1,23Q2,2023-06-02
GMPS,1,23Q2,2023-06-02
H2BC5,1,23Q2,2023-06-02
HAMP,1,23Q2,2023-06-02
HDAC3,1,23Q2,2023-06-02
HMGCR,1,23Q2,2023-06-02
INO80,1,23Q2,2023-06-02
KRAS,1,23Q2,2023-06-02
LDHA,1,23Q2,2023-06-02
METAP2,1,23Q2,2023-06-02
MLST8,1,23Q2,2023-06-02
MRPL36,1,23Q2,2023-06-02
MTOR,1,23Q2,2023-06-02
MTREX,1,23Q2,2023-06-02
NCBP1,1,23Q2,2023-06-02
PISD,1,23Q2,2023-06-02
POLA1,1,23Q2,2023-06-02
PPIA,1,23Q2,2023-06-02
PSMD1,1,23Q2,2023-06-02
RPL28,1,23Q2,2023-06-02
RPSA,1,23Q2,2023-06-02
RPTOR,1,23Q2,2023-06-02
RRM1,1,23Q2,2023-06-02
SOD1,1,23Q2,2023-06-02
TAF8,1,23Q2,2023-06-02
TOMM20,1,23Q2,2023-06-02
TOP1,1,23Q2,2023-06-02
TOP2A,1,23Q2,2023-06-02
TUBA1B,1,23Q2,2023-06-02
TUBB,1,23Q2,2023-06-02
TXN,1,23Q2,2023-06-02
XPO1,1,23Q2,2023-06-02
