symbol,n_phenotypes,release,release_date
GRAMD1C,5,16.0,2022-03-24
GRIA2,4,16.0,2022-03-24
GRIK3,7,16.0,2022-03-24
GRIN1,0,16.0,2022-03-24
GRIN2B,4,16.0,2022-03-24
GRIN3A,1,16.0,2022-03-24
GRM1,0,16.0,2022-03-24
GRM7,6,16.0,2022-03-24
GSR,5,16.0,2022-03-24
GYPC,1,16.0,2022-03-24
HAS3,0,16.0,2022-03-24
HAVCR2,6,16.0,2022-03-24
HCAR2,2,16.0,2022-03-24
HDAC1,10,16.0,2022-03-24
HDAC11,1,16.0,2022-03-24
HDAC3,1,16.0,2022-03-24
HDAC4,4,16.0,2022-03-24
HLCS,2,16.0,2022-03-24
HNRNPAB,4,16.0,2022-03-24
HPGD,0,16.0,2022-03-24
HRH1,1,16.0,2022-03-24
HRH4,3,16.0,2022-03-24
HSF1,4,16.0,2022-03-24
HSP90AA1,6,16.0,2022-03-24
HTR1A,0,16.0,2022-03-24
HTR1B,6,16.0,2022-03-24
HTR3A,0,16.0,2022-03-24
HTR4,2,16.0,2022-03-24
HTRA3,0,16.0,2022-03-24
HTT,1,16.0,2022-03-24
IDH1,2,16.0,2022-03-24
IDH2,3,16.0,2022-03-24
IFNAR1,8,16.0,2022-03-24
IFNG,8,16.0,2022-03-24
IFNLR1,1,16.0,2022-03-24
IL10RA,6,16.0,2022-03-24
IL12A,2,16.0,2022-03-24
IL12B,1,16.0,2022-03-24
IL13,2,16.0,2022-03-24
IL15,4,16.0,2022-03-24
IL17A,7,16.0,2022-03-24
IL18,0,16.0,2022-03-24
IL1A,2,16.0,2022-03-24
IL1R2,2,16.0,2022-03-24
IL1RL1,0,16.0,2022-03-24
IL21,1,16.0,2022-03-24
IL22RA1,0,16.0,2022-03-24
IL23R,1,16.0,2022-03-24
IL2RA,36,16.0,2022-03-24
IL2RB,6,16.0,2022-03-24
IL31RA,3,16.0,2022-03-24
IL33,2,16.0,2022-03-24
IL3RA,0,16.0,2022-03-24
IL6,2,16.0,2022-03-24
INO80,8,16.0,2022-03-24
IRAK1,1,16.0,2022-03-24
IRF6,3,16.0,2022-03-24
ITGA2,2,16.0,2022-03-24
ITGB1,4,16.0,2022-03-24
JAK3,12,16.0,2022-03-24
KBTBD13,0,16.0,2022-03-24
KCNA10,7,16.0,2022-03-24
KCNJ8,0,16.0,2022-03-24
KCNMA1,7,16.0,2022-03-24
KCNQ5,0,16.0,2022-03-24
KCNT1,11,16.0,2022-03-24
KDM1A,11,16.0,2022-03-24
KIF26B,4,16.0,2022-03-24
KLKB1,3,16.0,2022-03-24
LDHA,2,16.0,2022-03-24
LEPR,53,16.0,2022-03-24
LGALS3,0,16.0,2022-03-24
LGALS3BP,1,16.0,2022-03-24
LHCGR,11,16.0,2022-03-24
LIPT1,2,16.0,2022-03-24
LPAR1,1,16.0,2022-03-24
LPP,2,16.0,2022-03-24
LRRK2,0,16.0,2022-03-24
MAOB,1,16.0,2022-03-24
MAP2K2,1,16.0,2022-03-24
MAPK1,1,16.0,2022-03-24
MAPK11,0,16.0,2022-03-24
MAPKAPK2,8,16.0,2022-03-24
MAPT,8,16.0,2022-03-24
MARCKS,0,16.0,2022-03-24
MC1R,2,16.0,2022-03-24
MGLL,2,16.0,2022-03-24
MME,1,16.0,2022-03-24
MMP9,1,16.0,2022-03-24
MOGAT2,9,16.0,2022-03-24
MPDZ,8,16.0,2022-03-24
MPO,1,16.0,2022-03-24
MS4A2,0,16.0,2022-03-24
MTNR1B,2,16.0,2022-03-24
MTOR,1,16.0,2022-03-24
MYO18B,3,16.0,2022-03-24
NBEAL1,0,16.0,2022-03-24
NCBP1,3,16.0,2022-03-24
NDRG3,8,16.0,2022-03-24
NDUFB8,1,16.0,2022-03-24
NFAT5,3,16.0,2022-03-24
NFKB1,0,16.0,2022-03-24
NGRN,1,16.0,2022-03-24
NIPSNAP2,0,16.0,2022-03-24
