ensembl_id,ot_overall_max,ot_genetic_max,ot_animal_model_max,release,release_date,era
ENSG00000121879,1.0,1.0,0.3246638564520625,20.06,2020-06-01,A
ENSG00000133703,1.0,1.0,0.32699641466650625,20.06,2020-06-01,A
ENSG00000157764,1.0,1.0,0.3268753787911525,20.06,2020-06-01,A
ENSG00000066468,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000169032,1.0,1.0,0.3223156024827991,20.06,2020-06-01,A
ENSG00000171862,1.0,1.0,0.3268528074853478,20.06,2020-06-01,A
ENSG00000068078,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000132155,1.0,1.0,0.32699609539503277,20.06,2020-06-01,A
ENSG00000077782,1.0,1.0,0.32699647044412206,20.06,2020-06-01,A
ENSG00000146648,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000096968,1.0,1.0,0.32698888256054287,20.06,2020-06-01,A
ENSG00000168036,1.0,1.0,0.3269929138953508,20.06,2020-06-01,A
ENSG00000105976,1.0,1.0,0.32699252362045683,20.06,2020-06-01,A
ENSG00000169083,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000113721,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000126934,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000165731,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000179348,1.0,1.0,0.3226173399434024,20.06,2020-06-01,A
ENSG00000128052,1.0,1.0,0.32180830557370227,20.06,2020-06-01,A
ENSG00000157404,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000105639,1.0,1.0,0.326987912105912,20.06,2020-06-01,A
ENSG00000141510,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000183765,1.0,1.0,0.29691128888888885,20.06,2020-06-01,A
ENSG00000091831,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000141736,1.0,1.0,0.326923928641254,20.06,2020-06-01,A
ENSG00000010671,1.0,1.0,0.32691676529321767,20.06,2020-06-01,A
ENSG00000138413,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000135446,1.0,1.0,0.3269774907823482,20.06,2020-06-01,A
ENSG00000133895,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000117400,1.0,1.0,0.32692832670859623,20.06,2020-06-01,A
ENSG00000065361,1.0,1.0,0.32699524542481073,20.06,2020-06-01,A
ENSG00000198793,1.0,1.0,0.32626148341531147,20.06,2020-06-01,A
ENSG00000128602,1.0,1.0,0.3126359496768343,20.06,2020-06-01,A
ENSG00000106462,1.0,1.0,0.3244924852600504,20.06,2020-06-01,A
ENSG00000148400,1.0,1.0,0.31447612084678767,20.06,2020-06-01,A
ENSG00000108821,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000178568,1.0,1.0,0.31964303043176007,20.06,2020-06-01,A
ENSG00000182054,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000168685,1.0,1.0,0.3236422330175213,20.06,2020-06-01,A
ENSG00000162733,1.0,1.0,0.3257722296330962,20.06,2020-06-01,A
ENSG00000171759,1.0,1.0,0.32629707891451126,20.06,2020-06-01,A
ENSG00000183072,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000134853,1.0,1.0,0.3269625805416138,20.06,2020-06-01,A
ENSG00000171298,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000168610,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000273079,1.0,1.0,0.3148416589667497,20.06,2020-06-01,A
ENSG00000171094,1.0,1.0,0.3246541815931066,20.06,2020-06-01,A
ENSG00000198400,1.0,1.0,0.323883280950418,20.06,2020-06-01,A
ENSG00000118972,1.0,1.0,0.3269911679598404,20.06,2020-06-01,A
ENSG00000182578,1.0,1.0,0.3269494111031382,20.06,2020-06-01,A
ENSG00000142192,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000171105,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000140443,1.0,1.0,0.32693386636691557,20.06,2020-06-01,A
ENSG00000183873,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000118271,1.0,1.0,0.32019485660117664,20.06,2020-06-01,A
ENSG00000084674,1.0,1.0,0.3268098893024887,20.06,2020-06-01,A
ENSG00000132170,1.0,1.0,0.32699655870164024,20.06,2020-06-01,A
ENSG00000006071,1.0,1.0,0.32632125224412223,20.06,2020-06-01,A
ENSG00000186716,1.0,1.0,0.31633685849546866,20.06,2020-06-01,A
ENSG00000007314,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000160882,1.0,1.0,0.3252042849929017,20.06,2020-06-01,A
ENSG00000136531,1.0,1.0,0.32086733726487443,20.06,2020-06-01,A
