symbol,n_phenotypes,release,release_date
AADAC,11,14.0,2021-05-10
AAMP,2,14.0,2021-05-10
ABCA1,8,14.0,2021-05-10
ABCA2,1,14.0,2021-05-10
ABCC8,2,14.0,2021-05-10
ABCD1,0,14.0,2021-05-10
ABHD14B,0,14.0,2021-05-10
ABO,3,14.0,2021-05-10
ABRAXAS2,6,14.0,2021-05-10
ACAT1,0,14.0,2021-05-10
ACAT2,6,14.0,2021-05-10
ACE,5,14.0,2021-05-10
ACHE,6,14.0,2021-05-10
ACKR3,4,14.0,2021-05-10
ACTG1,3,14.0,2021-05-10
ADGRG7,1,14.0,2021-05-10
ADORA1,4,14.0,2021-05-10
ADORA2A,6,14.0,2021-05-10
ADRA2A,7,14.0,2021-05-10
ADRB2,8,14.0,2021-05-10
AGFG2,0,14.0,2021-05-10
AGTR2,0,14.0,2021-05-10
AHCYL1,10,14.0,2021-05-10
AIFM3,1,14.0,2021-05-10
ALAS1,1,14.0,2021-05-10
ALDH1A3,3,14.0,2021-05-10
ALDH1B1,1,14.0,2021-05-10
AMPD3,0,14.0,2021-05-10
ANGPTL3,7,14.0,2021-05-10
ANPEP,4,14.0,2021-05-10
AOC1,7,14.0,2021-05-10
AOPEP,2,14.0,2021-05-10
APLNR,4,14.0,2021-05-10
APP,8,14.0,2021-05-10
AQP3,7,14.0,2021-05-10
AQP9,3,14.0,2021-05-10
AREL1,1,14.0,2021-05-10
ATF4,9,14.0,2021-05-10
ATP1A4,0,14.0,2021-05-10
ATP2A1,1,14.0,2021-05-10
ATP2A2,5,14.0,2021-05-10
ATP2B1,8,14.0,2021-05-10
ATP6V0A1,7,14.0,2021-05-10
ATP6V1B1,2,14.0,2021-05-10
ATR,4,14.0,2021-05-10
AURKA,5,14.0,2021-05-10
AVPR1A,1,14.0,2021-05-10
BAAT,7,14.0,2021-05-10
BBS1,12,14.0,2021-05-10
BBS2,4,14.0,2021-05-10
BCKDHA,6,14.0,2021-05-10
BCL7A,4,14.0,2021-05-10
BDKRB1,6,14.0,2021-05-10
BLOC1S6,11,14.0,2021-05-10
BPI,2,14.0,2021-05-10
BRD8,1,14.0,2021-05-10
BUB1,3,14.0,2021-05-10
C1QA,2,14.0,2021-05-10
C3,4,14.0,2021-05-10
CACNA1B,7,14.0,2021-05-10
CACNA1C,10,14.0,2021-05-10
CACNA1I,6,14.0,2021-05-10
CACNA2D1,8,14.0,2021-05-10
CACNB2,4,14.0,2021-05-10
CALCB,8,14.0,2021-05-10
CALCR,3,14.0,2021-05-10
CAV2,1,14.0,2021-05-10
CCL17,0,14.0,2021-05-10
CCL26,3,14.0,2021-05-10
CD19,5,14.0,2021-05-10
CD300LD,0,14.0,2021-05-10
CD5L,3,14.0,2021-05-10
CDC7,7,14.0,2021-05-10
CDK4,10,14.0,2021-05-10
CDK9,9,14.0,2021-05-10
CEACAM5,2,14.0,2021-05-10
CFAP97D1,0,14.0,2021-05-10
CFD,7,14.0,2021-05-10
CFH,1,14.0,2021-05-10
CFI,1,14.0,2021-05-10
CHEK2,2,14.0,2021-05-10
CHRNA7,3,14.0,2021-05-10
CLPP,40,14.0,2021-05-10
CNR1,4,14.0,2021-05-10
COG8,2,14.0,2021-05-10
COL13A1,1,14.0,2021-05-10
COL16A1,3,14.0,2021-05-10
COL9A2,13,14.0,2021-05-10
COL9A3,5,14.0,2021-05-10
COX6A1,0,14.0,2021-05-10
CP,6,14.0,2021-05-10
CPB1,2,14.0,2021-05-10
CPD,0,14.0,2021-05-10
CPT2,4,14.0,2021-05-10
CRLS1,1,14.0,2021-05-10
CRYBB3,3,14.0,2021-05-10
CSF2RB,1,14.0,2021-05-10
CTSK,11,14.0,2021-05-10
CUL4A,7,14.0,2021-05-10
CX3CR1,4,14.0,2021-05-10
CXCR2,39,14.0,2021-05-10
CYP17A1,24,14.0,2021-05-10
CYSLTR1,2,14.0,2021-05-10
DCT,2,14.0,2021-05-10
DGUOK,4,14.0,2021-05-10
DHCR24,0,14.0,2021-05-10
DHFR,8,14.0,2021-05-10
DHODH,4,14.0,2021-05-10
DMD,15,14.0,2021-05-10
DMP1,3,14.0,2021-05-10
DNAH9,0,14.0,2021-05-10
DNTT,6,14.0,2021-05-10
DPP4,2,14.0,2021-05-10
DPYD,6,14.0,2021-05-10
DRD3,5,14.0,2021-05-10
DUSP26,0,14.0,2021-05-10
EDNRA,3,14.0,2021-05-10
EEF1D,8,14.0,2021-05-10
EFNA4,2,14.0,2021-05-10
EGFR,0,14.0,2021-05-10
EHHADH,0,14.0,2021-05-10
EIF4G2,10,14.0,2021-05-10
EPHB1,11,14.0,2021-05-10
EPHB2,3,14.0,2021-05-10
ERBB2,0,14.0,2021-05-10
ESR2,15,14.0,2021-05-10
ESRRA,2,14.0,2021-05-10
EZH2,0,14.0,2021-05-10
F10,3,14.0,2021-05-10
F2,7,14.0,2021-05-10
F7,5,14.0,2021-05-10
FDX1,2,14.0,2021-05-10
FGFR1,5,14.0,2021-05-10
FMO5,0,14.0,2021-05-10
FNTA,7,14.0,2021-05-10
FOLH1,3,14.0,2021-05-10
FOLR1,30,14.0,2021-05-10
FXN,2,14.0,2021-05-10
GABRA2,16,14.0,2021-05-10
GART,3,14.0,2021-05-10
GATA2,11,14.0,2021-05-10
GATM,18,14.0,2021-05-10
GBE1,1,14.0,2021-05-10
GCGR,8,14.0,2021-05-10
GCK,6,14.0,2021-05-10
GCKR,3,14.0,2021-05-10
GDF15,1,14.0,2021-05-10
GHSR,2,14.0,2021-05-10
GLP1R,1,14.0,2021-05-10
GLRA2,3,14.0,2021-05-10
GLRB,5,14.0,2021-05-10
GMPR,2,14.0,2021-05-10
GNB3,0,14.0,2021-05-10
GP1BB,10,14.0,2021-05-10
GPR119,4,14.0,2021-05-10
GPR20,0,14.0,2021-05-10
GPR22,6,14.0,2021-05-10
GPR39,3,14.0,2021-05-10
GPRC5D,0,14.0,2021-05-10
GPX3,2,14.0,2021-05-10
GRAMD1C,3,14.0,2021-05-10
GRIA2,3,14.0,2021-05-10
GRIK3,7,14.0,2021-05-10
GRIN1,0,14.0,2021-05-10
GRIN2B,2,14.0,2021-05-10
GRIN3A,1,14.0,2021-05-10
GRM1,0,14.0,2021-05-10
GRM7,6,14.0,2021-05-10
GSR,5,14.0,2021-05-10
GYPC,3,14.0,2021-05-10
HAS3,0,14.0,2021-05-10
HAVCR2,5,14.0,2021-05-10
HCAR2,4,14.0,2021-05-10
HDAC1,7,14.0,2021-05-10
HDAC11,0,14.0,2021-05-10
HDAC3,1,14.0,2021-05-10
HDAC4,2,14.0,2021-05-10
HLCS,2,14.0,2021-05-10
HNRNPAB,4,14.0,2021-05-10
HPGD,0,14.0,2021-05-10
HRH1,2,14.0,2021-05-10
HRH4,4,14.0,2021-05-10
HSF1,4,14.0,2021-05-10
HSP90AA1,5,14.0,2021-05-10
HTR1A,2,14.0,2021-05-10
HTR1B,6,14.0,2021-05-10
HTR3A,1,14.0,2021-05-10
HTR4,1,14.0,2021-05-10
HTRA3,0,14.0,2021-05-10
IDH1,7,14.0,2021-05-10
IDH2,1,14.0,2021-05-10
IFNAR1,11,14.0,2021-05-10
IFNG,6,14.0,2021-05-10
IFNLR1,3,14.0,2021-05-10
IL10RA,4,14.0,2021-05-10
IL12A,5,14.0,2021-05-10
IL13,5,14.0,2021-05-10
IL15,2,14.0,2021-05-10
IL17A,7,14.0,2021-05-10
IL18,1,14.0,2021-05-10
IL1A,1,14.0,2021-05-10
IL1R2,3,14.0,2021-05-10
IL1RL1,0,14.0,2021-05-10
IL21,3,14.0,2021-05-10
IL22RA1,0,14.0,2021-05-10
IL23R,2,14.0,2021-05-10
IL2RA,28,14.0,2021-05-10
IL2RB,4,14.0,2021-05-10
IL31RA,4,14.0,2021-05-10
IL33,0,14.0,2021-05-10
IL3RA,0,14.0,2021-05-10
IL6,3,14.0,2021-05-10
INO80,8,14.0,2021-05-10
IRAK1,3,14.0,2021-05-10
