symbol,pan_essential,release,release_date
AAMP,1,22Q2,2022-05-05
ACTG1,1,22Q2,2022-05-05
ATF4,1,22Q2,2022-05-05
ATP2A2,1,22Q2,2022-05-05
ATR,1,22Q2,2022-05-05
AURKA,1,22Q2,2022-05-05
BRD8,1,22Q2,2022-05-05
BUB1,1,22Q2,2022-05-05
CDC7,1,22Q2,2022-05-05
CDK4,1,22Q2,2022-05-05
CDK7,1,22Q2,2022-05-05
CDK9,1,22Q2,2022-05-05
COG8,1,22Q2,2022-05-05
COX6A1,1,22Q2,2022-05-05
CRLS1,1,22Q2,2022-05-05
CYP2A13,1,22Q2,2022-05-05
DCTN3,1,22Q2,2022-05-05
DHFR,1,22Q2,2022-05-05
DHODH,1,22Q2,2022-05-05
DHX36,1,22Q2,2022-05-05
DKC1,1,22Q2,2022-05-05
DNMT1,1,22Q2,2022-05-05
DPAGT1,1,22Q2,2022-05-05
EEF1G,1,22Q2,2022-05-05
EEF2,1,22Q2,2022-05-05
EIF4G2,1,22Q2,2022-05-05
ESRRA,1,22Q2,2022-05-05
FNTA,1,22Q2,2022-05-05
FXN,1,22Q2,2022-05-05
HAMP,1,22Q2,2022-05-05
HCRTR1,1,22Q2,2022-05-05
HDAC3,1,22Q2,2022-05-05
HMGB1,1,22Q2,2022-05-05
HMGCR,1,22Q2,2022-05-05
HSF1,1,22Q2,2022-05-05
IFITM2,1,22Q2,2022-05-05
INO80,1,22Q2,2022-05-05
KCNA10,1,22Q2,2022-05-05
KRAS,1,22Q2,2022-05-05
MAP2K2,1,22Q2,2022-05-05
MDM2,1,22Q2,2022-05-05
METAP2,1,22Q2,2022-05-05
MLST8,1,22Q2,2022-05-05
MRPL15,1,22Q2,2022-05-05
MRPL36,1,22Q2,2022-05-05
MTOR,1,22Q2,2022-05-05
MTREX,1,22Q2,2022-05-05
NCBP1,1,22Q2,2022-05-05
PIK3R4,1,22Q2,2022-05-05
PLA2G10,1,22Q2,2022-05-05
POLA1,1,22Q2,2022-05-05
POLR3D,1,22Q2,2022-05-05
PPIA,1,22Q2,2022-05-05
PSMD1,1,22Q2,2022-05-05
RPL28,1,22Q2,2022-05-05
RPSA,1,22Q2,2022-05-05
RPTOR,1,22Q2,2022-05-05
RRM1,1,22Q2,2022-05-05
SOD1,1,22Q2,2022-05-05
SOD2,1,22Q2,2022-05-05
TAF8,1,22Q2,2022-05-05
TEN1,1,22Q2,2022-05-05
TFRC,1,22Q2,2022-05-05
TOMM20,1,22Q2,2022-05-05
TOP1,1,22Q2,2022-05-05
TOP2A,1,22Q2,2022-05-05
TUBA1B,1,22Q2,2022-05-05
TUBB,1,22Q2,2022-05-05
TXN,1,22Q2,2022-05-05
XPO1,1,22Q2,2022-05-05
