symbol,n_phenotypes,release,release_date
AADAC,9,20.0,2023-11-21
AAMP,2,20.0,2023-11-21
ABCA1,4,20.0,2023-11-21
ABCA2,4,20.0,2023-11-21
ABCC8,2,20.0,2023-11-21
ABCD1,0,20.0,2023-11-21
ABHD14B,0,20.0,2023-11-21
ABO,3,20.0,2023-11-21
ABRAXAS2,0,20.0,2023-11-21
ACADVL,2,20.0,2023-11-21
ACAT1,1,20.0,2023-11-21
ACAT2,6,20.0,2023-11-21
ACE,5,20.0,2023-11-21
ACHE,6,20.0,2023-11-21
ACKR3,5,20.0,2023-11-21
ACTA2,1,20.0,2023-11-21
ACTG1,10,20.0,2023-11-21
ADGRG7,5,20.0,2023-11-21
ADORA1,4,20.0,2023-11-21
ADORA2A,10,20.0,2023-11-21
ADRA2A,7,20.0,2023-11-21
ADRB2,11,20.0,2023-11-21
AGFG2,1,20.0,2023-11-21
AGTR2,0,20.0,2023-11-21
AHCYL1,6,20.0,2023-11-21
AIFM3,4,20.0,2023-11-21
ALAS1,8,20.0,2023-11-21
ALDH1A3,4,20.0,2023-11-21
ALDH1B1,1,20.0,2023-11-21
AMPD3,0,20.0,2023-11-21
ANGPTL3,8,20.0,2023-11-21
ANK3,2,20.0,2023-11-21
ANPEP,3,20.0,2023-11-21
AOC1,6,20.0,2023-11-21
AOPEP,4,20.0,2023-11-21
APLNR,5,20.0,2023-11-21
APOBEC1,13,20.0,2023-11-21
APP,7,20.0,2023-11-21
AQP3,9,20.0,2023-11-21
AQP9,4,20.0,2023-11-21
AREL1,2,20.0,2023-11-21
ATF4,7,20.0,2023-11-21
ATP1A4,1,20.0,2023-11-21
ATP2A1,1,20.0,2023-11-21
ATP2A2,4,20.0,2023-11-21
ATP2B1,9,20.0,2023-11-21
ATP6V0A1,6,20.0,2023-11-21
ATP6V1B1,2,20.0,2023-11-21
ATR,6,20.0,2023-11-21
AURKA,6,20.0,2023-11-21
AVPR1A,1,20.0,2023-11-21
BAAT,9,20.0,2023-11-21
BBS1,10,20.0,2023-11-21
BBS2,2,20.0,2023-11-21
BCKDHA,5,20.0,2023-11-21
BCL7A,3,20.0,2023-11-21
BDKRB1,5,20.0,2023-11-21
BLOC1S6,10,20.0,2023-11-21
BPI,0,20.0,2023-11-21
BRD8,1,20.0,2023-11-21
BUB1,2,20.0,2023-11-21
C1QA,3,20.0,2023-11-21
C3,0,20.0,2023-11-21
CACNA1B,9,20.0,2023-11-21
CACNA1C,12,20.0,2023-11-21
CACNA1I,7,20.0,2023-11-21
CACNA2D1,14,20.0,2023-11-21
CACNB2,6,20.0,2023-11-21
CALCB,7,20.0,2023-11-21
CALCR,2,20.0,2023-11-21
CASP2,13,20.0,2023-11-21
CAV2,3,20.0,2023-11-21
CCL17,1,20.0,2023-11-21
CCL26,4,20.0,2023-11-21
CCR3,8,20.0,2023-11-21
CD19,2,20.0,2023-11-21
CD300LD,1,20.0,2023-11-21
CD38,14,20.0,2023-11-21
CD5L,4,20.0,2023-11-21
CD68,2,20.0,2023-11-21
CDC7,6,20.0,2023-11-21
CDK4,13,20.0,2023-11-21
CDK9,8,20.0,2023-11-21
CEACAM5,3,20.0,2023-11-21
CFAP97D1,1,20.0,2023-11-21
CFD,7,20.0,2023-11-21
CFH,1,20.0,2023-11-21
CFI,3,20.0,2023-11-21
CHEK2,0,20.0,2023-11-21
CHRNA7,3,20.0,2023-11-21
CLPP,39,20.0,2023-11-21
CNR1,7,20.0,2023-11-21
COG8,3,20.0,2023-11-21
COL13A1,0,20.0,2023-11-21
COL16A1,4,20.0,2023-11-21
COL9A2,15,20.0,2023-11-21
COL9A3,12,20.0,2023-11-21
COX6A1,0,20.0,2023-11-21
CP,7,20.0,2023-11-21
CPB1,2,20.0,2023-11-21
CPD,7,20.0,2023-11-21
CPT2,3,20.0,2023-11-21
CRLS1,1,20.0,2023-11-21
CRYBB3,2,20.0,2023-11-21
CRYL1,0,20.0,2023-11-21
CSF1R,1,20.0,2023-11-21
CSF2RB,6,20.0,2023-11-21
CTSK,9,20.0,2023-11-21
CUL4A,9,20.0,2023-11-21
CX3CR1,4,20.0,2023-11-21
CXCR2,37,20.0,2023-11-21
CXCR4,21,20.0,2023-11-21
CYP17A1,20,20.0,2023-11-21
CYSLTR1,2,20.0,2023-11-21
DAPK3,3,20.0,2023-11-21
DCP1B,0,20.0,2023-11-21
DCT,4,20.0,2023-11-21
DGUOK,9,20.0,2023-11-21
DHCR24,0,20.0,2023-11-21
DHFR,6,20.0,2023-11-21
DHODH,2,20.0,2023-11-21
DLX4,0,20.0,2023-11-21
DMD,14,20.0,2023-11-21
DMP1,19,20.0,2023-11-21
DNAH9,0,20.0,2023-11-21
DNTT,4,20.0,2023-11-21
DPP4,3,20.0,2023-11-21
DPYD,4,20.0,2023-11-21
DRD3,3,20.0,2023-11-21
DUSP26,0,20.0,2023-11-21
EDNRA,3,20.0,2023-11-21
EEF1D,17,20.0,2023-11-21
EFNA4,4,20.0,2023-11-21
EGFR,0,20.0,2023-11-21
EHHADH,2,20.0,2023-11-21
EIF4G2,12,20.0,2023-11-21
EPHB1,9,20.0,2023-11-21
EPHB2,2,20.0,2023-11-21
ERBB2,1,20.0,2023-11-21
ESR2,8,20.0,2023-11-21
ESRRA,7,20.0,2023-11-21
ETFB,5,20.0,2023-11-21
EZH2,0,20.0,2023-11-21
F10,4,20.0,2023-11-21
F2,9,20.0,2023-11-21
F7,5,20.0,2023-11-21
FDX1,4,20.0,2023-11-21
FGFR1,5,20.0,2023-11-21
FLT3,13,20.0,2023-11-21
FMO5,9,20.0,2023-11-21
FNTA,4,20.0,2023-11-21
FOLH1,1,20.0,2023-11-21
FOLR1,10,20.0,2023-11-21
FXN,2,20.0,2023-11-21
GABRA2,15,20.0,2023-11-21
GABRA5,8,20.0,2023-11-21
GART,3,20.0,2023-11-21
GATA2,10,20.0,2023-11-21
GATM,25,20.0,2023-11-21
GBA1,4,20.0,2023-11-21
GBE1,1,20.0,2023-11-21
GCGR,18,20.0,2023-11-21
GCK,6,20.0,2023-11-21
GCKR,3,20.0,2023-11-21
GDF15,0,20.0,2023-11-21
GHSR,0,20.0,2023-11-21
GLP1R,2,20.0,2023-11-21
GLRA2,7,20.0,2023-11-21
GLRB,10,20.0,2023-11-21
GM2A,2,20.0,2023-11-21
GMPR,1,20.0,2023-11-21
GMPS,8,20.0,2023-11-21
GNB3,0,20.0,2023-11-21
GP1BB,7,20.0,2023-11-21
GPR119,0,20.0,2023-11-21
GPR20,0,20.0,2023-11-21
GPR22,13,20.0,2023-11-21
GPR39,5,20.0,2023-11-21
GPRC5D,0,20.0,2023-11-21
GPX3,3,20.0,2023-11-21
GRAMD1C,8,20.0,2023-11-21
GRIA2,4,20.0,2023-11-21
GRIK3,13,20.0,2023-11-21
GRIN1,0,20.0,2023-11-21
GRIN2B,5,20.0,2023-11-21
GRIN3A,1,20.0,2023-11-21
GRM1,0,20.0,2023-11-21
GRM7,6,20.0,2023-11-21
GSR,5,20.0,2023-11-21
GYPC,1,20.0,2023-11-21
HAS3,0,20.0,2023-11-21
HAVCR2,4,20.0,2023-11-21
HCAR2,1,20.0,2023-11-21
HDAC1,5,20.0,2023-11-21
HDAC11,2,20.0,2023-11-21
HDAC3,1,20.0,2023-11-21
HDAC4,3,20.0,2023-11-21
HLCS,4,20.0,2023-11-21
HNRNPAB,3,20.0,2023-11-21
HPGD,1,20.0,2023-11-21
HRH1,1,20.0,2023-11-21
HRH4,3,20.0,2023-11-21
HSF1,5,20.0,2023-11-21
HSP90AA1,6,20.0,2023-11-21
HTR1A,0,20.0,2023-11-21
HTR1B,6,20.0,2023-11-21
HTR3A,0,20.0,2023-11-21
HTR4,2,20.0,2023-11-21
HTRA3,0,20.0,2023-11-21
HTT,3,20.0,2023-11-21
ICAM2,0,20.0,2023-11-21
IDH1,2,20.0,2023-11-21
IDH2,3,20.0,2023-11-21
IFNAR1,8,20.0,2023-11-21
IFNG,6,20.0,2023-11-21
IFNLR1,1,20.0,2023-11-21
IL10RA,6,20.0,2023-11-21
IL12A,2,20.0,2023-11-21
IL12B,1,20.0,2023-11-21
IL13,2,20.0,2023-11-21
IL15,4,20.0,2023-11-21
IL17A,7,20.0,2023-11-21
IL18,0,20.0,2023-11-21
IL1A,5,20.0,2023-11-21
IL1R2,2,20.0,2023-11-21
IL1RL1,0,20.0,2023-11-21
IL21,1,20.0,2023-11-21
IL22RA1,0,20.0,2023-11-21
IL23R,1,20.0,2023-11-21
IL2RA,36,20.0,2023-11-21
IL2RB,6,20.0,2023-11-21
IL31RA,3,20.0,2023-11-21
IL33,3,20.0,2023-11-21
IL3RA,0,20.0,2023-11-21
IL6,2,20.0,2023-11-21
INO80,8,20.0,2023-11-21
IRAK1,1,20.0,2023-11-21
IRF6,3,20.0,2023-11-21
ITGA2,1,20.0,2023-11-21
ITGB1,3,20.0,2023-11-21
ITGB2,1,20.0,2023-11-21
ITGB6,15,20.0,2023-11-21
JAK3,13,20.0,2023-11-21
KBTBD13,0,20.0,2023-11-21
KCNA10,6,20.0,2023-11-21
KCNJ8,0,20.0,2023-11-21
KCNMA1,6,20.0,2023-11-21
KCNQ5,0,20.0,2023-11-21
KCNT1,11,20.0,2023-11-21
KDM1A,11,20.0,2023-11-21
KIF26B,4,20.0,2023-11-21
KLKB1,2,20.0,2023-11-21
LANCL1,0,20.0,2023-11-21
LDHA,2,20.0,2023-11-21
LEPR,48,20.0,2023-11-21
LGALS3,0,20.0,2023-11-21
LGALS3BP,0,20.0,2023-11-21
LHCGR,11,20.0,2023-11-21
LIPT1,3,20.0,2023-11-21
LPAR1,1,20.0,2023-11-21
LPP,3,20.0,2023-11-21
LRRK2,0,20.0,2023-11-21
MAOB,1,20.0,2023-11-21
MAP2K1,1,20.0,2023-11-21
MAP2K2,1,20.0,2023-11-21
MAPK1,1,20.0,2023-11-21
MAPK11,1,20.0,2023-11-21
MAPKAPK2,9,20.0,2023-11-21
MAPT,8,20.0,2023-11-21
MARCKS,0,20.0,2023-11-21
MC1R,2,20.0,2023-11-21
MGLL,2,20.0,2023-11-21
MME,1,20.0,2023-11-21
MMP13,1,20.0,2023-11-21
MMP9,1,20.0,2023-11-21
MOGAT2,9,20.0,2023-11-21
MPDZ,9,20.0,2023-11-21
MPO,0,20.0,2023-11-21
MS4A2,0,20.0,2023-11-21
MTNR1B,3,20.0,2023-11-21
MTOR,1,20.0,2023-11-21
MYO18B,3,20.0,2023-11-21
NBEAL1,0,20.0,2023-11-21
NCBP1,2,20.0,2023-11-21
NDRG3,10,20.0,2023-11-21
NDUFB8,1,20.0,2023-11-21
NFAT5,6,20.0,2023-11-21
NFE2L2,17,20.0,2023-11-21
NFKB1,0,20.0,2023-11-21
NGRN,1,20.0,2023-11-21
NIPSNAP2,0,20.0,2023-11-21
NOS3,20,20.0,2023-11-21
NOTCH1,4,20.0,2023-11-21
NPFF,1,20.0,2023-11-21
NR2F6,2,20.0,2023-11-21
NRP1,3,20.0,2023-11-21
NTRK1,2,20.0,2023-11-21
NUPR1,0,20.0,2023-11-21
OAZ2,4,20.0,2023-11-21
OPRL1,10,20.0,2023-11-21
OSM,10,20.0,2023-11-21
OTULIN,3,20.0,2023-11-21
OXTR,1,20.0,2023-11-21
P2RX7,2,20.0,2023-11-21
P4HB,3,20.0,2023-11-21
PAH,11,20.0,2023-11-21
PARD3,5,20.0,2023-11-21
PARP1,8,20.0,2023-11-21
PARP12,9,20.0,2023-11-21
PCSK6,4,20.0,2023-11-21
PCSK9,5,20.0,2023-11-21
PDE3B,1,20.0,2023-11-21
PDE4C,2,20.0,2023-11-21
PDE5A,6,20.0,2023-11-21
PDGFRB,5,20.0,2023-11-21
PIERCE2,2,20.0,2023-11-21
PIGF,4,20.0,2023-11-21
PIK3CG,0,20.0,2023-11-21
