symbol,n_phenotypes,release,release_date
BRD8,1,18.0,2022-11-28
BUB1,2,18.0,2022-11-28
C1QA,3,18.0,2022-11-28
C3,0,18.0,2022-11-28
CACNA1B,9,18.0,2022-11-28
CACNA1C,11,18.0,2022-11-28
CACNA1I,6,18.0,2022-11-28
CACNA2D1,14,18.0,2022-11-28
CACNB2,4,18.0,2022-11-28
CALCB,7,18.0,2022-11-28
CALCR,2,18.0,2022-11-28
CASP2,11,18.0,2022-11-28
CAV2,3,18.0,2022-11-28
CCL17,1,18.0,2022-11-28
CCL26,4,18.0,2022-11-28
CCR3,8,18.0,2022-11-28
CD19,2,18.0,2022-11-28
CD300LD,1,18.0,2022-11-28
CD38,14,18.0,2022-11-28
CD5L,4,18.0,2022-11-28
CDC7,6,18.0,2022-11-28
CDK4,13,18.0,2022-11-28
CDK9,8,18.0,2022-11-28
CEACAM5,3,18.0,2022-11-28
CFAP97D1,1,18.0,2022-11-28
CFD,7,18.0,2022-11-28
CFH,1,18.0,2022-11-28
CFI,4,18.0,2022-11-28
CHEK2,0,18.0,2022-11-28
CHRNA7,3,18.0,2022-11-28
CLPP,39,18.0,2022-11-28
CNR1,6,18.0,2022-11-28
COG8,2,18.0,2022-11-28
COL13A1,1,18.0,2022-11-28
COL16A1,4,18.0,2022-11-28
COL9A2,14,18.0,2022-11-28
COL9A3,12,18.0,2022-11-28
COX6A1,0,18.0,2022-11-28
CP,7,18.0,2022-11-28
CPB1,2,18.0,2022-11-28
CPD,7,18.0,2022-11-28
CPT2,3,18.0,2022-11-28
CRLS1,1,18.0,2022-11-28
CRYBB3,2,18.0,2022-11-28
CSF1R,0,18.0,2022-11-28
CSF2RB,6,18.0,2022-11-28
CTSK,11,18.0,2022-11-28
CUL4A,7,18.0,2022-11-28
CX3CR1,4,18.0,2022-11-28
CXCR2,37,18.0,2022-11-28
CXCR4,19,18.0,2022-11-28
CYP17A1,20,18.0,2022-11-28
CYSLTR1,3,18.0,2022-11-28
DAPK3,4,18.0,2022-11-28
DCT,3,18.0,2022-11-28
DGUOK,9,18.0,2022-11-28
DHCR24,0,18.0,2022-11-28
DHFR,6,18.0,2022-11-28
DHODH,2,18.0,2022-11-28
DLX4,0,18.0,2022-11-28
DMD,14,18.0,2022-11-28
DMP1,4,18.0,2022-11-28
DNAH9,0,18.0,2022-11-28
DNTT,4,18.0,2022-11-28
DPP4,3,18.0,2022-11-28
DPYD,4,18.0,2022-11-28
DRD3,3,18.0,2022-11-28
DUSP26,0,18.0,2022-11-28
EDNRA,3,18.0,2022-11-28
EEF1D,16,18.0,2022-11-28
EFNA4,4,18.0,2022-11-28
EGFR,0,18.0,2022-11-28
EHHADH,0,18.0,2022-11-28
EIF4G2,11,18.0,2022-11-28
EPHB1,8,18.0,2022-11-28
EPHB2,2,18.0,2022-11-28
ERBB2,2,18.0,2022-11-28
ESR2,8,18.0,2022-11-28
ESRRA,7,18.0,2022-11-28
ETFB,6,18.0,2022-11-28
EZH2,0,18.0,2022-11-28
F10,4,18.0,2022-11-28
F2,9,18.0,2022-11-28
F7,5,18.0,2022-11-28
FDX1,4,18.0,2022-11-28
FGFR1,5,18.0,2022-11-28
FLT3,13,18.0,2022-11-28
FMO5,9,18.0,2022-11-28
FNTA,4,18.0,2022-11-28
FOLH1,1,18.0,2022-11-28
FOLR1,19,18.0,2022-11-28
FXN,2,18.0,2022-11-28
GABRA2,15,18.0,2022-11-28
GABRA5,8,18.0,2022-11-28
GART,3,18.0,2022-11-28
GATA2,10,18.0,2022-11-28
GATM,25,18.0,2022-11-28
GBE1,1,18.0,2022-11-28
GCGR,5,18.0,2022-11-28
GCK,6,18.0,2022-11-28
GCKR,3,18.0,2022-11-28
GDF15,0,18.0,2022-11-28
GHSR,0,18.0,2022-11-28
GLP1R,2,18.0,2022-11-28
GLRA2,7,18.0,2022-11-28
GLRB,9,18.0,2022-11-28
GM2A,2,18.0,2022-11-28
GMPR,2,18.0,2022-11-28
GNB3,0,18.0,2022-11-28
GP1BB,7,18.0,2022-11-28
GPR119,0,18.0,2022-11-28
GPR20,0,18.0,2022-11-28
GPR22,13,18.0,2022-11-28
GPR39,5,18.0,2022-11-28
GPRC5D,0,18.0,2022-11-28
GPX3,3,18.0,2022-11-28
GRAMD1C,7,18.0,2022-11-28
GRIA2,4,18.0,2022-11-28
GRIK3,8,18.0,2022-11-28
GRIN1,0,18.0,2022-11-28
GRIN2B,4,18.0,2022-11-28
GRIN3A,1,18.0,2022-11-28
GRM1,0,18.0,2022-11-28
GRM7,6,18.0,2022-11-28
GSR,5,18.0,2022-11-28
GYPC,1,18.0,2022-11-28
HAS3,0,18.0,2022-11-28
HAVCR2,3,18.0,2022-11-28
HCAR2,1,18.0,2022-11-28
HDAC1,5,18.0,2022-11-28
HDAC11,1,18.0,2022-11-28
HDAC3,1,18.0,2022-11-28
HDAC4,4,18.0,2022-11-28
HLCS,4,18.0,2022-11-28
HNRNPAB,3,18.0,2022-11-28
HPGD,0,18.0,2022-11-28
HRH1,1,18.0,2022-11-28
HRH4,3,18.0,2022-11-28
HSF1,4,18.0,2022-11-28
HSP90AA1,6,18.0,2022-11-28
HTR1A,0,18.0,2022-11-28
HTR1B,6,18.0,2022-11-28
HTR3A,0,18.0,2022-11-28
HTR4,2,18.0,2022-11-28
HTRA3,0,18.0,2022-11-28
HTT,2,18.0,2022-11-28
ICAM2,0,18.0,2022-11-28
IDH1,2,18.0,2022-11-28
IDH2,3,18.0,2022-11-28
IFNAR1,8,18.0,2022-11-28
IFNG,6,18.0,2022-11-28
IFNLR1,1,18.0,2022-11-28
IL10RA,6,18.0,2022-11-28
IL12A,2,18.0,2022-11-28
IL12B,1,18.0,2022-11-28
IL13,1,18.0,2022-11-28
IL15,4,18.0,2022-11-28
IL17A,7,18.0,2022-11-28
IL18,0,18.0,2022-11-28
IL1A,6,18.0,2022-11-28
IL1R2,2,18.0,2022-11-28
IL1RL1,0,18.0,2022-11-28
IL21,1,18.0,2022-11-28
IL22RA1,0,18.0,2022-11-28
IL23R,1,18.0,2022-11-28
IL2RA,36,18.0,2022-11-28
IL2RB,6,18.0,2022-11-28
IL31RA,3,18.0,2022-11-28
IL33,2,18.0,2022-11-28
IL3RA,1,18.0,2022-11-28
IL6,2,18.0,2022-11-28
INO80,8,18.0,2022-11-28
IRAK1,1,18.0,2022-11-28
IRF6,3,18.0,2022-11-28
ITGA2,1,18.0,2022-11-28
ITGB1,4,18.0,2022-11-28
ITGB2,1,18.0,2022-11-28
ITGB6,14,18.0,2022-11-28
JAK3,12,18.0,2022-11-28
KBTBD13,0,18.0,2022-11-28
KCNA10,6,18.0,2022-11-28
KCNJ8,0,18.0,2022-11-28
KCNMA1,6,18.0,2022-11-28
KCNQ5,0,18.0,2022-11-28
KCNT1,12,18.0,2022-11-28
KDM1A,11,18.0,2022-11-28
KIF26B,4,18.0,2022-11-28
KLKB1,2,18.0,2022-11-28
LANCL1,0,18.0,2022-11-28
LDHA,2,18.0,2022-11-28
LEPR,53,18.0,2022-11-28
LGALS3,0,18.0,2022-11-28
LGALS3BP,0,18.0,2022-11-28
LHCGR,11,18.0,2022-11-28
LIPT1,3,18.0,2022-11-28
LPAR1,1,18.0,2022-11-28
LPP,3,18.0,2022-11-28
LRRK2,0,18.0,2022-11-28
MAOB,1,18.0,2022-11-28
MAP2K1,0,18.0,2022-11-28
MAP2K2,1,18.0,2022-11-28
MAPK1,1,18.0,2022-11-28
MAPK11,1,18.0,2022-11-28
MAPKAPK2,8,18.0,2022-11-28
MAPT,8,18.0,2022-11-28
MARCKS,0,18.0,2022-11-28
MC1R,2,18.0,2022-11-28
MGLL,1,18.0,2022-11-28
MME,1,18.0,2022-11-28
MMP9,1,18.0,2022-11-28
MOGAT2,9,18.0,2022-11-28
MPDZ,8,18.0,2022-11-28
MPO,0,18.0,2022-11-28
MS4A2,0,18.0,2022-11-28
MTNR1B,2,18.0,2022-11-28
MTOR,1,18.0,2022-11-28
MYO18B,3,18.0,2022-11-28
NBEAL1,0,18.0,2022-11-28
NCBP1,2,18.0,2022-11-28
NDRG3,9,18.0,2022-11-28
NDUFB8,1,18.0,2022-11-28
NFAT5,4,18.0,2022-11-28
NFKB1,0,18.0,2022-11-28
NGRN,1,18.0,2022-11-28
NIPSNAP2,0,18.0,2022-11-28
NOS3,21,18.0,2022-11-28
NOTCH1,4,18.0,2022-11-28
NPFF,1,18.0,2022-11-28
NR2F6,2,18.0,2022-11-28
NRP1,3,18.0,2022-11-28
NTRK1,2,18.0,2022-11-28
NUPR1,1,18.0,2022-11-28
OAZ2,4,18.0,2022-11-28
OPRL1,5,18.0,2022-11-28
OSM,10,18.0,2022-11-28
OTULIN,3,18.0,2022-11-28
OXTR,1,18.0,2022-11-28
P2RX7,2,18.0,2022-11-28
P4HB,3,18.0,2022-11-28
PAH,12,18.0,2022-11-28
PARD3,5,18.0,2022-11-28
PARP1,8,18.0,2022-11-28
PARP12,9,18.0,2022-11-28
PCSK6,3,18.0,2022-11-28
PCSK9,5,18.0,2022-11-28
PDE3B,1,18.0,2022-11-28
PDE4C,3,18.0,2022-11-28
PDE5A,6,18.0,2022-11-28
PDGFRB,5,18.0,2022-11-28
PIGF,4,18.0,2022-11-28
PIK3CG,0,18.0,2022-11-28
PLA2G10,9,18.0,2022-11-28
PLEC,2,18.0,2022-11-28
PLEKHA3,3,18.0,2022-11-28
PLOD3,7,18.0,2022-11-28
POLE3,1,18.0,2022-11-28
POLR3D,7,18.0,2022-11-28
PPARA,3,18.0,2022-11-28
PPARG,6,18.0,2022-11-28
PPIA,20,18.0,2022-11-28
PPP3CA,0,18.0,2022-11-28
PRDM15,3,18.0,2022-11-28
PRKAA2,11,18.0,2022-11-28
PRKD3,4,18.0,2022-11-28
PSMB11,22,18.0,2022-11-28
PTGER2,2,18.0,2022-11-28
PTGS1,3,18.0,2022-11-28
PTH1R,5,18.0,2022-11-28
PVR,2,18.0,2022-11-28
RAF1,3,18.0,2022-11-28
ROR1,9,18.0,2022-11-28
RPS6KA1,1,18.0,2022-11-28
RPTOR,3,18.0,2022-11-28
RRM1,2,18.0,2022-11-28
RXFP2,17,18.0,2022-11-28
S100B,0,18.0,2022-11-28
SARDH,0,18.0,2022-11-28
SCN11A,1,18.0,2022-11-28
SCN4A,4,18.0,2022-11-28
SELL,1,18.0,2022-11-28
SEMA3D,1,18.0,2022-11-28
SEMA4D,6,18.0,2022-11-28
SERPING1,8,18.0,2022-11-28
SIGMAR1,1,18.0,2022-11-28
SIK2,1,18.0,2022-11-28
SIRT2,0,18.0,2022-11-28
SLC10A1,9,18.0,2022-11-28
SLC10A2,1,18.0,2022-11-28
SLC17A9,2,18.0,2022-11-28
SLC22A4,1,18.0,2022-11-28
SLC29A1,15,18.0,2022-11-28
SLC5A2,3,18.0,2022-11-28
SLC5A5,10,18.0,2022-11-28
SLC6A2,5,18.0,2022-11-28
SLC6A3,5,18.0,2022-11-28
SLC6A5,4,18.0,2022-11-28
SLC9A3,1,18.0,2022-11-28
SMO,9,18.0,2022-11-28
SNCA,6,18.0,2022-11-28
SNX21,0,18.0,2022-11-28
SORT1,1,18.0,2022-11-28
SQLE,1,18.0,2022-11-28
SRD5A2,4,18.0,2022-11-28
SSTR2,11,18.0,2022-11-28
STBD1,1,18.0,2022-11-28
STING1,3,18.0,2022-11-28
SYK,5,18.0,2022-11-28
TACR3,6,18.0,2022-11-28
TADA1,2,18.0,2022-11-28
TAF8,5,18.0,2022-11-28
TARBP1,2,18.0,2022-11-28
TDRKH,1,18.0,2022-11-28
TEN1,0,18.0,2022-11-28
TFRC,8,18.0,2022-11-28
THRA,23,18.0,2022-11-28
TIGIT,2,18.0,2022-11-28
TLR4,4,18.0,2022-11-28
TMEM97,1,18.0,2022-11-28
TNFRSF17,2,18.0,2022-11-28
TNKS2,2,18.0,2022-11-28
TOMM20,4,18.0,2022-11-28
TOP2A,17,18.0,2022-11-28
TPRKB,1,18.0,2022-11-28
TRDMT1,4,18.0,2022-11-28
TRIM55,3,18.0,2022-11-28
TRPA1,3,18.0,2022-11-28
TRPC5,0,18.0,2022-11-28
TRPC6,0,18.0,2022-11-28
TSLP,0,18.0,2022-11-28
TTC39A,4,18.0,2022-11-28
TTR,0,18.0,2022-11-28
TUBB4A,1,18.0,2022-11-28
TYK2,8,18.0,2022-11-28
TYMS,0,18.0,2022-11-28
TYRO3,16,18.0,2022-11-28
UBE3A,9,18.0,2022-11-28
VKORC1,1,18.0,2022-11-28
XK,3,18.0,2022-11-28
XPO1,5,18.0,2022-11-28
