symbol,n_phenotypes,release,release_date
AADAC,9,18.0,2022-11-28
AAMP,2,18.0,2022-11-28
ABCA1,5,18.0,2022-11-28
ABCA2,4,18.0,2022-11-28
ABCC8,2,18.0,2022-11-28
ABCD1,0,18.0,2022-11-28
ABHD14B,0,18.0,2022-11-28
ABO,3,18.0,2022-11-28
ABRAXAS2,0,18.0,2022-11-28
ACADVL,2,18.0,2022-11-28
ACAT1,0,18.0,2022-11-28
ACAT2,6,18.0,2022-11-28
ACE,4,18.0,2022-11-28
ACHE,6,18.0,2022-11-28
ACKR3,5,18.0,2022-11-28
ACTA2,1,18.0,2022-11-28
ACTG1,3,18.0,2022-11-28
ADGRG7,5,18.0,2022-11-28
ADORA1,4,18.0,2022-11-28
ADORA2A,8,18.0,2022-11-28
ADRA2A,7,18.0,2022-11-28
ADRB2,11,18.0,2022-11-28
AGFG2,1,18.0,2022-11-28
AGTR2,0,18.0,2022-11-28
AHCYL1,6,18.0,2022-11-28
AIFM3,4,18.0,2022-11-28
ALAS1,8,18.0,2022-11-28
ALDH1A3,4,18.0,2022-11-28
ALDH1B1,1,18.0,2022-11-28
AMPD3,0,18.0,2022-11-28
ANGPTL3,8,18.0,2022-11-28
ANK3,1,18.0,2022-11-28
ANPEP,3,18.0,2022-11-28
AOC1,6,18.0,2022-11-28
AOPEP,4,18.0,2022-11-28
APLNR,4,18.0,2022-11-28
APOBEC1,12,18.0,2022-11-28
APP,7,18.0,2022-11-28
AQP3,12,18.0,2022-11-28
AQP9,3,18.0,2022-11-28
AREL1,2,18.0,2022-11-28
ATF4,7,18.0,2022-11-28
ATP1A4,1,18.0,2022-11-28
ATP2A1,1,18.0,2022-11-28
ATP2A2,4,18.0,2022-11-28
ATP2B1,8,18.0,2022-11-28
ATP6V0A1,6,18.0,2022-11-28
ATP6V1B1,1,18.0,2022-11-28
ATR,6,18.0,2022-11-28
AURKA,6,18.0,2022-11-28
AVPR1A,1,18.0,2022-11-28
BAAT,8,18.0,2022-11-28
BBS1,9,18.0,2022-11-28
BBS2,2,18.0,2022-11-28
BCKDHA,4,18.0,2022-11-28
BCL7A,3,18.0,2022-11-28
BDKRB1,4,18.0,2022-11-28
BLOC1S6,9,18.0,2022-11-28
BPI,0,18.0,2022-11-28
