symbol,n_phenotypes,release,release_date
AADAC,9,21.0,2024-05-07
AAMP,2,21.0,2024-05-07
ABCA1,4,21.0,2024-05-07
ABCA2,6,21.0,2024-05-07
ABCC8,2,21.0,2024-05-07
ABCD1,0,21.0,2024-05-07
ABHD14B,2,21.0,2024-05-07
ABO,3,21.0,2024-05-07
ABRAXAS2,0,21.0,2024-05-07
ACADVL,2,21.0,2024-05-07
ACAT1,1,21.0,2024-05-07
ACAT2,6,21.0,2024-05-07
ACE,5,21.0,2024-05-07
ACHE,6,21.0,2024-05-07
ACKR3,5,21.0,2024-05-07
ACTA2,1,21.0,2024-05-07
ACTG1,10,21.0,2024-05-07
ADGRG7,4,21.0,2024-05-07
ADORA1,4,21.0,2024-05-07
ADORA2A,10,21.0,2024-05-07
ADRA2A,7,21.0,2024-05-07
ADRB2,11,21.0,2024-05-07
AGFG2,1,21.0,2024-05-07
AGTR2,0,21.0,2024-05-07
AHCYL1,6,21.0,2024-05-07
AIFM3,4,21.0,2024-05-07
ALAS1,8,21.0,2024-05-07
ALDH1A3,4,21.0,2024-05-07
ALDH1B1,1,21.0,2024-05-07
AMPD3,0,21.0,2024-05-07
ANGPTL3,8,21.0,2024-05-07
ANK3,2,21.0,2024-05-07
ANPEP,3,21.0,2024-05-07
AOC1,6,21.0,2024-05-07
AOPEP,4,21.0,2024-05-07
APLNR,5,21.0,2024-05-07
APOBEC1,14,21.0,2024-05-07
APP,7,21.0,2024-05-07
AQP3,9,21.0,2024-05-07
AQP9,4,21.0,2024-05-07
AREL1,2,21.0,2024-05-07
ATF4,6,21.0,2024-05-07
ATP1A4,1,21.0,2024-05-07
ATP2A1,1,21.0,2024-05-07
ATP2A2,4,21.0,2024-05-07
ATP2B1,9,21.0,2024-05-07
ATP6V0A1,6,21.0,2024-05-07
ATP6V1B1,1,21.0,2024-05-07
ATR,7,21.0,2024-05-07
AURKA,6,21.0,2024-05-07
AVPR1A,1,21.0,2024-05-07
BAAT,10,21.0,2024-05-07
BBS1,10,21.0,2024-05-07
BBS2,2,21.0,2024-05-07
BCKDHA,4,21.0,2024-05-07
BCL7A,3,21.0,2024-05-07
BDKRB1,5,21.0,2024-05-07
BLOC1S6,10,21.0,2024-05-07
BPI,0,21.0,2024-05-07
BRD8,1,21.0,2024-05-07
BUB1,2,21.0,2024-05-07
C1QA,4,21.0,2024-05-07
C3,0,21.0,2024-05-07
