symbol,n_phenotypes,release,release_date
AADAC,9,19.0,2023-05-09
AAMP,2,19.0,2023-05-09
ABCA1,4,19.0,2023-05-09
ABCA2,4,19.0,2023-05-09
ABCC8,2,19.0,2023-05-09
ABCD1,0,19.0,2023-05-09
ABHD14B,0,19.0,2023-05-09
ABO,3,19.0,2023-05-09
ABRAXAS2,0,19.0,2023-05-09
ACADVL,2,19.0,2023-05-09
ACAT1,0,19.0,2023-05-09
ACAT2,6,19.0,2023-05-09
ACE,4,19.0,2023-05-09
ACHE,7,19.0,2023-05-09
ACKR3,5,19.0,2023-05-09
ACTA2,1,19.0,2023-05-09
ACTG1,10,19.0,2023-05-09
ADGRG7,5,19.0,2023-05-09
ADORA1,4,19.0,2023-05-09
ADORA2A,10,19.0,2023-05-09
ADRA2A,7,19.0,2023-05-09
ADRB2,11,19.0,2023-05-09
AGFG2,1,19.0,2023-05-09
AGTR2,0,19.0,2023-05-09
AHCYL1,6,19.0,2023-05-09
AIFM3,4,19.0,2023-05-09
ALAS1,8,19.0,2023-05-09
ALDH1A3,4,19.0,2023-05-09
ALDH1B1,1,19.0,2023-05-09
AMPD3,0,19.0,2023-05-09
ANGPTL3,8,19.0,2023-05-09
ANK3,1,19.0,2023-05-09
ANPEP,3,19.0,2023-05-09
AOC1,6,19.0,2023-05-09
AOPEP,4,19.0,2023-05-09
APLNR,4,19.0,2023-05-09
APOBEC1,12,19.0,2023-05-09
APP,7,19.0,2023-05-09
AQP3,9,19.0,2023-05-09
AQP9,3,19.0,2023-05-09
AREL1,2,19.0,2023-05-09
ATF4,6,19.0,2023-05-09
ATP1A4,1,19.0,2023-05-09
ATP2A1,1,19.0,2023-05-09
ATP2A2,4,19.0,2023-05-09
ATP2B1,9,19.0,2023-05-09
ATP6V0A1,6,19.0,2023-05-09
ATP6V1B1,1,19.0,2023-05-09
ATR,6,19.0,2023-05-09
AURKA,7,19.0,2023-05-09
AVPR1A,1,19.0,2023-05-09
BAAT,8,19.0,2023-05-09
BBS1,10,19.0,2023-05-09
BBS2,2,19.0,2023-05-09
BCKDHA,4,19.0,2023-05-09
BCL7A,3,19.0,2023-05-09
BDKRB1,5,19.0,2023-05-09
BLOC1S6,11,19.0,2023-05-09
BPI,0,19.0,2023-05-09
BRD8,1,19.0,2023-05-09
BUB1,2,19.0,2023-05-09
C1QA,4,19.0,2023-05-09
C3,0,19.0,2023-05-09
CACNA1B,9,19.0,2023-05-09
CACNA1C,12,19.0,2023-05-09
CACNA1I,6,19.0,2023-05-09
CACNA2D1,14,19.0,2023-05-09
CACNB2,6,19.0,2023-05-09
CALCB,8,19.0,2023-05-09
CALCR,2,19.0,2023-05-09
CASP2,10,19.0,2023-05-09
CAV2,3,19.0,2023-05-09
CCL17,1,19.0,2023-05-09
CCL26,4,19.0,2023-05-09
CCR3,8,19.0,2023-05-09
CD19,2,19.0,2023-05-09
