stratum,n_ph1,n_ph2,n_ph3,n_approved,n_adv_ph1,n_adv_ph2,n_adv_ph3,pos_ph1_to_2,pos_ph2_to_3,pos_ph3_to_approval,loa_from_ph1
solid,12222,5020,1994,1445,5545,2403,511,45.4,47.9,25.6,5.6
hematologic,3048,1163,530,568,1390,654,217,45.6,56.2,40.9,10.5
immuno_oncology,13,7,1,2,8,2,0,61.5,28.6,0.0,0.0
