term,aOR,p,ci_lo,ci_hi
Intercept,0.29245958452871207,1.574244886925362e-28,0.23529595966466973,0.3635107407054632
C(ta)[T.cv],0.7806105660027575,0.15149903452727645,0.5564705023813297,1.0950317279128252
C(ta)[T.infectious],0.46833832561316274,1.5056601640684708e-07,0.35286989691545706,0.6215910995963819
C(ta)[T.metabolic],0.7572609384400076,0.03591279357222407,0.5840249287900009,0.9818829652958796
C(ta)[T.neuro],1.3272961463942228,0.0353090722919652,1.0196743001024626,1.7277233132735883
C(ta)[T.oncology],1.0689519393638278,0.47574710389926833,0.889964955889544,1.2839362281715585
C(ta)[T.other],0.9769116042983823,0.7945248070848565,0.8194265783759157,1.164663568155613
C(ta)[T.rare],8.36108641000044,3.298873651465055e-12,4.599521116798069,15.198922709623286
C(tdl)[T.Tchem],0.7946112848493548,0.013357283306274384,0.6623049286508095,0.9533480224829227
C(tdl)[T.Tclin],1.1966682722234951,0.02278766549254547,1.0253116613773325,1.396663090540388
C(tdl)[T.Tdark],0.05243510538934213,6.7446894002656065e-09,0.01935257688048846,0.14207101690749205
C(tdl)[T.unknown],1.4645703751132462,0.004407558154375243,1.1262811860160684,1.9044679164415632
cell_lit,0.9021446196225279,0.40193083708442157,0.709080595063826,1.1477749079293555
gpres,1.1813382573822446,0.31578741397689847,0.853039322760986,1.635985635267065
cell_lit:gpres,1.2679160401369554,0.16699170927247775,0.9054819484043964,1.7754203578209862
animal_lit,0.6347016895535154,0.00034304816581033507,0.4948730797976641,0.8140395005660772
animal_lit:gpres,2.3280202942076813,4.6561096406009625e-07,1.6759898700455353,3.2337179281970068
pd_lit,3.155370214390404,7.585435686374908e-33,2.6128261557183157,3.810571617278132
pd_lit:gpres,0.6035909898800503,0.0001360964020331795,0.465697090593608,0.7823155661118482
impc3,0.6555101310041828,1.1016862323051306e-08,0.5671099312460317,0.7576900141829909
impc3:gpres,1.4809362173029954,0.0001436915792809005,1.2095311240516176,1.8132415413777394
ot_animal,1.3826944917744868,9.475001240574851e-06,1.1979761373806048,1.5958949414166013
ot_animal:gpres,0.7541055351585518,0.031942229343961785,0.582699131745206,0.9759327364253352
tract_sm,0.8207005781051577,0.013004766431715751,0.7022045028875042,0.9591927082957559
tract_sm:gpres,1.2123410592062196,0.16788951844995836,0.9220847892358054,1.5939649596165208
loeuf_lo,0.5852033665749856,6.315412010763746e-05,0.45010033404532257,0.7608592003760053
loeuf_lo:gpres,1.3200608199436783,0.07725319943110472,0.9701063271157735,1.7962572963843966
depmap_ess,0.19493936547415047,8.525717754508299e-16,0.13089757205040656,0.29031368279948466
depmap_ess:gpres,2.0430877873842435,0.014293403564258242,1.1535650698806923,3.6185281749128912
