stratum,n_ph1,n_ph2,n_ph3,n_approved,n_adv_ph1,n_adv_ph2,n_adv_ph3,pos_ph1_to_2,pos_ph2_to_3,pos_ph3_to_approval,loa_from_ph1
Novel,28579,15359,7050,4657,16341,7923,2802,57.2,51.6,39.7,11.7
Off-patent,8904,5095,2937,0,5095,2937,0,57.2,57.6,0.0,0.0
Unclassified,5501,2608,903,45,2608,911,37,47.4,34.9,4.1,0.7
