rs,lo,hi,n_support,n_not,pct_appr_support,pct_appr_not,dimension,measure
1.77,1.63,1.92,365,2657,69.6,39.2,present_cell,"drug_cell_efficacy (present, assessed-drug RS)"
1.32,1.22,1.44,824,2198,52.2,39.4,present_animal,"drug_animal_efficacy (present, assessed-drug RS)"
