program_id,target_id,symbol,ensembl_id,first_trial_date,pinned_date,approved,rt_ot_overall_max,pd_ot_overall_max,rt_ot_genetic_max,pd_ot_genetic_max,rt_ot_animal_model_max,pd_ot_animal_model_max,source,rt_impc_n_phenotypes,pd_impc_n_phenotypes,rt_depmap_pan_essential,pd_depmap_pan_essential
78477,19457,EPHB3,ENSG00000182580,2021-08-23,2021-06-01,True,0.61203788962518,0.6513434848049451,0.510505513014342,0.7325884904005555,,,OpenTargets,,,,
93316,5455,CRLS1,ENSG00000088766,2022-04-29,2021-06-01,True,0.3190929415670326,0.3872640259155422,0.4445003618759268,0.63701991647238,,,OpenTargets,,,,
93312,5455,CRLS1,ENSG00000088766,2022-04-29,2021-06-01,True,0.3190929415670326,0.3872640259155422,0.4445003618759268,0.63701991647238,,,OpenTargets,,,,
93313,5455,CRLS1,ENSG00000088766,2022-04-29,2021-06-01,True,0.3190929415670326,0.3872640259155422,0.4445003618759268,0.63701991647238,,,OpenTargets,,,,
93314,5455,CRLS1,ENSG00000088766,2022-04-29,2021-06-01,True,0.3190929415670326,0.3872640259155422,0.4445003618759268,0.63701991647238,,,OpenTargets,,,,
93315,5455,CRLS1,ENSG00000088766,2022-04-29,2021-06-01,True,0.3190929415670326,0.3872640259155422,0.4445003618759268,0.63701991647238,,,OpenTargets,,,,
93319,5455,CRLS1,ENSG00000088766,2022-04-29,2021-06-01,True,0.3190929415670326,0.3872640259155422,0.4445003618759268,0.63701991647238,,,OpenTargets,,,,
93317,5455,CRLS1,ENSG00000088766,2022-04-29,2021-06-01,True,0.3190929415670326,0.3872640259155422,0.4445003618759268,0.63701991647238,,,OpenTargets,,,,
93318,5455,CRLS1,ENSG00000088766,2022-04-29,2021-06-01,True,0.3190929415670326,0.3872640259155422,0.4445003618759268,0.63701991647238,,,OpenTargets,,,,
112297,6284,TACR1,ENSG00000115353,2023-11-08,2023-06-01,True,0.6795786605917916,0.6738868323477306,0.6415536086496044,0.8556589833793722,0.5565403808535188,0.6036773928991648,OpenTargets,,,,
131536,106,APOC3,ENSG00000110245,2021-12-14,2021-06-01,True,0.6511104369933873,0.7553001827197298,0.7585611611586147,0.9929274522565812,0.7140512811353183,0.7414728537289352,OpenTargets,,,,
110576,106,APOC3,ENSG00000110245,2023-07-10,2023-06-01,True,0.7092728331130339,0.7553001827197298,0.93171844134229,0.9929274522565812,0.634356603663467,0.7414728537289352,OpenTargets,,,,
81924,2069,BTK,ENSG00000010671,2021-09-09,2021-06-01,True,0.9088789567261404,0.9122260834513264,0.9566655446976456,0.953277683694434,0.7837535439736386,0.8088626493883266,OpenTargets,,,,
111492,2069,BTK,ENSG00000010671,2021-11-24,2021-06-01,True,0.9088789567261404,0.9122260834513264,0.9566655446976456,0.953277683694434,0.7837535439736386,0.8088626493883266,OpenTargets,,,,
137668,3154,ROS1,ENSG00000047936,2021-06-01,2021-06-01,False,0.794786982686818,0.8292071330648992,0.7119006714710349,0.6885169486285011,0.9094661936486752,0.9393065461796852,OpenTargets,,,,
113888,6284,TACR1,ENSG00000115353,2025-02-25,2024-06-01,True,0.6804345979586168,0.6738868323477306,0.6415536086659269,0.8556589833793722,0.5407018271000342,0.6036773928991648,OpenTargets,,,,
141444,1420,CFD,ENSG00000197766,2021-08-23,2021-06-01,True,0.700876338822632,0.7646245773242832,0.7882934859566882,0.9454955510479032,0.7334397610615159,0.7293907704377017,OpenTargets,,,,
115752,106,APOC3,ENSG00000110245,2022-11-21,2022-06-01,True,0.7090101249939698,0.7553001827197298,0.931985670783084,0.9929274522565812,0.7179652155292818,0.7414728537289352,OpenTargets,,,,
113828,106,APOC3,ENSG00000110245,2022-05-09,2021-06-01,True,0.6511104369933873,0.7553001827197298,0.7585611611586147,0.9929274522565812,0.7140512811353183,0.7414728537289352,OpenTargets,,,,
113829,106,APOC3,ENSG00000110245,2022-05-09,2021-06-01,True,0.6511104369933873,0.7553001827197298,0.7585611611586147,0.9929274522565812,0.7140512811353183,0.7414728537289352,OpenTargets,,,,
115753,106,APOC3,ENSG00000110245,2022-11-21,2022-06-01,True,0.7090101249939698,0.7553001827197298,0.931985670783084,0.9929274522565812,0.7179652155292818,0.7414728537289352,OpenTargets,,,,
114113,2751,PTH1R,ENSG00000160801,2021-07-28,2021-06-01,False,0.8903994151166238,0.8948477576280992,0.9398103093647916,0.9475125104888114,0.6007344783689222,0.5945306891164875,OpenTargets,,,,
114111,2751,PTH1R,ENSG00000160801,2021-07-28,2021-06-01,False,0.8903994151166238,0.8948477576280992,0.9398103093647916,0.9475125104888114,0.6007344783689222,0.5945306891164875,OpenTargets,,,,
114112,2751,PTH1R,ENSG00000160801,2021-07-28,2021-06-01,False,0.8903994151166238,0.8948477576280992,0.9398103093647916,0.9475125104888114,0.6007344783689222,0.5945306891164875,OpenTargets,,,,
114110,2751,PTH1R,ENSG00000160801,2021-07-28,2021-06-01,False,0.8903994151166238,0.8948477576280992,0.9398103093647916,0.9475125104888114,0.6007344783689222,0.5945306891164875,OpenTargets,,,,
151195,1419,PDCD1,ENSG00000188389,2023-09-15,2023-06-01,True,0.6877338155170569,0.7251920723799639,0.607930797611621,0.751057115284062,0.7780875841714464,0.7833366779801975,OpenTargets,,,,
141263,1419,PDCD1,ENSG00000188389,2021-11-15,2021-06-01,True,0.6955501924865828,0.7251920723799639,0.607930797611621,0.751057115284062,0.7225052460068032,0.7833366779801975,OpenTargets,,,,
98884,247,C5,ENSG00000106804,2022-09-26,2022-06-01,True,0.8044299547382652,0.8237237271626505,0.8865919043105478,0.8953208148936364,0.9586094025666684,0.9301833215768536,OpenTargets,,,,
98885,247,C5,ENSG00000106804,2022-09-26,2022-06-01,True,0.8044299547382652,0.8237237271626505,0.8865919043105478,0.8953208148936364,0.9586094025666684,0.9301833215768536,OpenTargets,,,,
114107,17900,TNFRSF17,ENSG00000048462,2021-12-21,2021-06-01,True,0.7208721075438249,0.7830209415714936,0.3404152494843319,0.84417885289746,0.5599631401950802,0.8397892547171738,OpenTargets,,,,
114106,17900,TNFRSF17,ENSG00000048462,2021-12-21,2021-06-01,True,0.7208721075438249,0.7830209415714936,0.3404152494843319,0.84417885289746,0.5599631401950802,0.8397892547171738,OpenTargets,,,,
