stratum,n_ph1,n_ph2,n_ph3,n_approved,n_adv_ph1,n_adv_ph2,n_adv_ph3,pos_ph1_to_2,pos_ph2_to_3,pos_ph3_to_approval,loa_from_ph1
NME (small-molecule),20864,10911,4782,2641,11503,5290,1541,55.1,48.5,32.2,8.6
Unclassified,8357,4320,1779,45,4320,1787,37,51.7,41.4,2.1,0.4
Non-NME,7329,4127,2319,0,4127,2319,0,56.3,56.2,0.0,0.0
Biologic,6272,3604,1926,2016,3994,2291,1261,63.7,63.6,65.5,26.5
Biosimilar,162,100,84,0,100,84,0,61.7,84.0,0.0,0.0
