sponsor,n_originated,n_approved,success_pct
AO GENERIUM,10,0,0.0
Supernus Pharmaceuticals,10,0,0.0
Dompé Farmaceutici S.p.A,10,0,0.0
Nobelpharma,10,0,0.0
dsm-firmenich Switzerland,9,0,0.0
Surface Ophthalmics,9,0,0.0
Keenova Therapeutics,9,0,0.0
TJ Biopharma Co,9,0,0.0
Faes Farma,9,0,0.0
DermBiont,9,0,0.0
Cytokinetics,9,1,11.1
Maruho Co,9,0,0.0
Intercept Pharmaceuticals,9,1,11.1
Themis Bioscience,9,0,0.0
Bond Avillion 2 Development LP,9,0,0.0
Kiadis Pharma,9,0,0.0
Hanlim Pharm. Co,9,0,0.0
BioMarin,9,4,44.4
Lee's Pharmaceutical,9,0,0.0
Inotek Pharmaceuticals Corporation,9,0,0.0
PTC Therapeutics,9,3,33.3
SK Chemicals Co,9,0,0.0
Idorsia Pharmaceuticals Ltd.,9,0,0.0
CalciMedica,9,0,0.0
Calithera Biosciences,9,0,0.0
Galera Therapeutics,9,0,0.0
Insmed Incorporated,9,0,0.0
Medigen Vaccine Biologics Corp.,9,0,0.0
Helixmith Co,9,0,0.0
Valenta Pharm JSC,9,0,0.0
Luye Pharma Group Ltd.,8,0,0.0
Cara Therapeutics,8,1,12.5
Valneva Austria,8,0,0.0
Reistone Biopharma Company,8,0,0.0
Helsinn Healthcare SA,8,0,0.0
Clearside Biomedical,8,0,0.0
Alvotech Swiss,8,0,0.0
Zydus Lifesciences,8,0,0.0
Jiangsu Alphamab Biopharmaceuticals Co,8,0,0.0
Bukwang Pharmaceutical,8,0,0.0
Arcturus Therapeutics,8,0,0.0
Johnson & Johnson Consumer Inc. (J&JCI),8,0,0.0
Materia Medica Holding,8,0,0.0
Veru Inc.,8,0,0.0
R-Pharm International,8,0,0.0
Revance Therapeutics,8,0,0.0
Ascendis Pharma,8,2,25.0
Ocuphire Pharma,8,0,0.0
Spero Therapeutics,8,0,0.0
Dongguan HEC TaiGen Biopharmaceuticals Co,8,0,0.0
Sorrento Therapeutics,8,0,0.0
Impax Laboratories,8,0,0.0
Taiwan Liposome Company,8,0,0.0
TenNor Therapeutics (Suzhou),8,0,0.0
Botanix Pharmaceuticals,8,1,12.5
XOMA (US) LLC,8,0,0.0
Huahui Health,8,0,0.0
Shanghai Pharmaceuticals Holding Co,8,0,0.0
EyePoint Pharmaceuticals,8,0,0.0
Shanghai Henlius Biotech,8,0,0.0
Procter and Gamble,8,0,0.0
Ono Pharmaceutical,8,0,0.0
Medy-Tox,8,0,0.0
Cornerstone Pharmaceuticals,8,0,0.0
Sucampo Pharma Americas,8,0,0.0
Concentric Analgesics,8,0,0.0
Osivax,8,0,0.0
Leap Therapeutics,8,0,0.0
Sarfez Pharmaceuticals,7,0,0.0
Tris Pharma,7,0,0.0
Heidelberg ImmunoTherapeutics,7,0,0.0
Xencor,7,0,0.0
Kissei Pharmaceutical Co,7,0,0.0
Lisata Therapeutics,7,0,0.0
Kallyope Inc.,7,0,0.0
RAAS Nutritionals,7,0,0.0
LG Chem,7,0,0.0
United Therapeutics,7,1,14.3
Grünenthal,7,0,0.0
Oculis,7,0,0.0
Aurobindo Pharma Ltd,7,0,0.0
Oyster Point Pharma,7,0,0.0
Mural Oncology,7,0,0.0
BioTissue Holdings,7,0,0.0
WestVac Biopharma Co,7,0,0.0
Charleston Laboratories,7,0,0.0
Samus Therapeutics,7,0,0.0
Mirum Pharmaceuticals,7,0,0.0
Bharat Biotech International,7,0,0.0
"Hipra Scientific, S.L.U",7,0,0.0
Sichuan Haisco Pharmaceutical Group Co,7,0,0.0
Chipscreen Biosciences,7,0,0.0
EpicentRx,7,0,0.0
Ascletis Pharmaceuticals Co,7,0,0.0
Sunshine Guojian Pharmaceutical (Shanghai) Co,7,0,0.0
Palleos Healthcare,7,0,0.0
Ventyx Biosciences,7,0,0.0
Hutchison Medipharma,7,0,0.0
Fresenius Kabi,7,0,0.0
Institut Pasteur,7,0,0.0
Tanabe Pharma America,7,0,0.0
Mallinckrodt,7,0,0.0
Vaxart,7,0,0.0
Zhuhai Trinomab Pharmaceutical Co,7,0,0.0
Zurex Pharma,7,0,0.0
Biotest,7,0,0.0
Genocea Biosciences,7,0,0.0
Citius Pharmaceuticals,7,0,0.0
Jiangsu Simcere Pharmaceutical Co,7,0,0.0
Beijing Zhifei Lvzhu Biopharmaceutical Co,7,0,0.0
Hugel,7,0,0.0
Encube Ethicals,7,0,0.0
Aadi Bioscience,7,0,0.0
Glenmark Specialty,7,0,0.0
Astex Pharmaceuticals,7,0,0.0
Diasome Pharmaceuticals,7,0,0.0
Handok Inc.,7,0,0.0
Sinocelltech Ltd.,6,0,0.0
Tasly Biopharmaceuticals Co,6,0,0.0
PharmaMar,6,0,0.0
Humacyte,6,1,16.7
Celon Pharma SA,6,0,0.0
Lipocine Inc.,6,0,0.0
ALK-Abelló A/S,6,0,0.0
Swedish Orphan Biovitrum,6,0,0.0
CytoDyn,6,0,0.0
NewAmsterdam Pharma,6,0,0.0
Latigo Biotherapeutics,6,0,0.0
"Suzhou Kintor Pharmaceutical Inc,",6,0,0.0
Iroko Pharmaceuticals,6,0,0.0
RedHill Biopharma,6,0,0.0
Brii Biosciences,6,0,0.0
Jadran Galenski laboratorij d.d.,6,0,0.0
ITB-Med LLC,6,0,0.0
Dexa Medica Group,6,0,0.0
Servier,6,2,33.3
KalVista Pharmaceuticals,6,1,16.7
Sanaria Inc.,6,0,0.0
Sarepta,6,3,50.0
Foresee Pharmaceuticals Co,6,0,0.0
DUSA Pharmaceuticals,6,0,0.0
Biomed Industries,6,0,0.0
AryoGen Pharmed Co.,6,0,0.0
IBSA Institut Biochimique SA,6,0,0.0
Futura Medical Developments Ltd.,6,0,0.0
Il-Yang Pharm. Co,6,0,0.0
Nektar Therapeutics,6,0,0.0
Osteal Therapeutics,6,0,0.0
Santen SAS,6,0,0.0
Inovio Pharmaceuticals,6,0,0.0
Vaxcyte,6,0,0.0
Basilea Pharmaceutica,6,1,16.7
Harmony Biosciences Management,6,0,0.0
Azura Ophthalmics,6,0,0.0
Esperion Therapeutics,6,1,16.7
Balmoral Medical company,6,0,0.0
Praxis Precision Medicines,6,0,0.0
Adamis Pharmaceuticals Corporation,6,0,0.0
Debiopharm International SA,6,0,0.0
Savara Inc.,6,0,0.0
"Ahn-Gook Pharmaceuticals Co.,Ltd",6,0,0.0
Braeburn Pharmaceuticals,6,0,0.0
Shanghai Bovax Biotechnology Co,6,0,0.0
"Suzhou Zelgen Biopharmaceuticals Co.,Ltd",6,0,0.0
LigaChem Biosciences,6,0,0.0
Blue Earth Diagnostics,6,2,33.3
SIFI SpA,6,0,0.0
Arthrosi Therapeutics,6,0,0.0
Indivior Inc.,6,0,0.0
BridgeBio Pharma,6,3,50.0
TBF Genie Tissulaire,6,0,0.0
ORA,6,0,0.0
CSPC Ouyi Pharmaceutical Co,6,0,0.0
Sunshine Lake Pharma Co,6,0,0.0
"Unither Pharmaceuticals, France",6,0,0.0
Polichem,6,0,0.0
Laboratoires Thea,6,0,0.0
Aquestive Therapeutics,6,0,0.0
"Gan and Lee Pharmaceuticals, USA",6,0,0.0
Alto Neuroscience,6,0,0.0
Unity Biotechnology,6,0,0.0
Agenus Inc.,6,0,0.0
VivaVision Biotech,6,0,0.0
Amicus Therapeutics,6,2,33.3
Bilthoven Biologicals,6,0,0.0
BioCryst Pharmaceuticals,6,0,0.0
Metro International Biotech,5,0,0.0
DBV Technologies,5,0,0.0
Ocugen,5,0,0.0
G1 Therapeutics,5,1,20.0
Suzhou Suncadia Biopharmaceuticals Co,5,0,0.0
Bionorica SE,5,0,0.0
Barinthus Biotherapeutics,5,0,0.0
Iovance Biotherapeutics,5,1,20.0
NTC,5,0,0.0
Allena Pharmaceuticals,5,0,0.0
SFJ Pharmaceuticals,5,0,0.0
Shaanxi Micot Pharmaceutical Technology Co,5,0,0.0
mAbxience Research S.L.,5,0,0.0
Laboratorios Liomont,5,0,0.0
Atea Pharmaceuticals,5,0,0.0
Santalis Pharmaceuticals,5,0,0.0
Marker Therapeutics,5,0,0.0
On Target Laboratories,5,0,0.0
INSYS Therapeutics Inc,5,0,0.0
Theranexus,5,0,0.0
Tonix Pharmaceuticals,5,0,0.0
Intarcia Therapeutics,5,0,0.0
Beijing Northland Biotech. Co,5,0,0.0
Mylan Pharmaceuticals Inc,5,0,0.0
Paratek Pharmaceuticals Inc,5,0,0.0
Resilient Pharmaceuticals,5,0,0.0
Verrica Pharmaceuticals Inc.,5,0,0.0
"Orion Corporation, Orion Pharma",5,0,0.0
Soligenix,5,0,0.0
Professional Disposables International,5,0,0.0
Solventum US LLC,5,0,0.0
Entasis Therapeutics,5,0,0.0
Kyntra Bio,5,0,0.0
Partner Therapeutics,5,0,0.0
Hangzhou Zhongmei Huadong Pharmaceutical Co,5,0,0.0
Viridian Therapeutics,5,0,0.0
Hamad Medical Corporation,5,0,0.0
Zeria Pharmaceutical,5,0,0.0
"Noveome Biotherapeutics, formerly Stemnion",5,0,0.0
Ichnos Sciences SA,5,0,0.0
TG Therapeutics,5,2,40.0
Visterra,5,0,0.0
Zambon SpA,5,0,0.0
Lynk Pharmaceuticals Co,5,0,0.0
Mayne Pharma International Pty Ltd,5,0,0.0
Asahi Kasei Therapeutics Corporation,5,0,0.0
Dr. F. Köhler Chemie,5,0,0.0
Wuhan Createrna Science and Technology Co,5,0,0.0
"Sound Pharmaceuticals, Incorporated",5,0,0.0
TWi Biotechnology,5,0,0.0
Estetra,5,0,0.0
Asarina Pharma,5,0,0.0
Evommune,5,0,0.0
Enyo Pharma,5,0,0.0
CureVac,5,0,0.0
MEDA Pharma GmbH & Co. KG,5,0,0.0
Vifor Fresenius Medical Care Renal Pharma,5,0,0.0
Genrix (Shanghai) Biopharmaceutical Co,5,0,0.0
Guangzhou Patronus Biotech Co,5,0,0.0
Nihon Pharmaceutical Co,5,0,0.0
Melinta Therapeutics,5,0,0.0
Centrexion Therapeutics,5,0,0.0
Bosnalijek D.D,5,0,0.0
Beijing Suncadia Pharmaceuticals Co,5,0,0.0
Healx AI,5,0,0.0
Xiamen Amoytop Biotech Co,5,0,0.0
Mochida Pharmaceutical Company,5,0,0.0
