stratum,n_ph1,n_ph2,n_ph3,n_approved,n_adv_ph1,n_adv_ph2,n_adv_ph3,pos_ph1_to_2,pos_ph2_to_3,pos_ph3_to_approval,loa_from_ph1
Other non-oncology,24840,11677,5247,1094,12051,5367,600,48.5,46.0,11.4,2.5
Chronic high-prevalence,12959,8747,4499,853,8798,4587,714,67.9,52.4,15.9,5.7
Rare disease,6448,4952,2434,974,4987,2575,798,77.3,52.0,32.8,13.2
