iter	Logloss
0	0.6604905643
1	0.6395184281
2	0.63033427
3	0.6232618412
4	0.6135676143
5	0.6069246828
6	0.6000228818
7	0.5950055243
8	0.5922838547
9	0.5840389413
10	0.5724437439
11	0.5677990218
12	0.5597447969
13	0.5506551282
14	0.5458526863
15	0.5422221219
16	0.5389340041
17	0.5373849518
18	0.5352466309
19	0.5308266204
20	0.5292035723
21	0.5234336238
22	0.5190685258
23	0.5123933444
24	0.5095434166
25	0.5073680065
26	0.506159485
27	0.5038647714
28	0.5029064736
29	0.5017012289
30	0.5004583682
31	0.4991676879
32	0.4965702081
33	0.4950518815
34	0.4933731431
35	0.4924217137
36	0.4908916077
37	0.4886451244
38	0.4856799379
39	0.4841525876
40	0.4823824701
41	0.4813791727
42	0.4801240828
43	0.4787514372
44	0.4766050617
45	0.4754238739
46	0.4733636293
47	0.4724814904
48	0.471641586
49	0.4709225216
50	0.468900007
51	0.4676308989
52	0.466512975
53	0.4659816773
54	0.4650317811
55	0.4638743778
56	0.4635697296
57	0.4628836949
58	0.462132206
59	0.4605264062
60	0.4583332431
61	0.4571272423
62	0.4564113323
63	0.4555004947
64	0.4546203799
65	0.4541810626
66	0.4532052349
67	0.4527053766
68	0.4519292098
69	0.448731954
70	0.4471188034
71	0.4463600796
72	0.4452875287
73	0.4442614098
74	0.4435710437
75	0.4424950399
76	0.4416810411
77	0.4409083629
78	0.4405512353
79	0.4387700171
80	0.4383702081
81	0.4378394362
82	0.4371156595
83	0.4354284882
84	0.4340671618
85	0.433363724
86	0.4329581717
87	0.4323456012
88	0.4315888524
89	0.4309562656
90	0.4294947225
91	0.4289174475
92	0.4277315667
93	0.4271217049
94	0.4265895022
95	0.4257233595
96	0.4250310335
97	0.4240342349
98	0.4229910946
99	0.4222872421
100	0.4217558286
101	0.4212153903
102	0.4203552063
103	0.4193455594
104	0.4189227038
105	0.4183420566
106	0.4171747023
107	0.4168587824
108	0.4149034536
109	0.4145455765
110	0.4141521689
111	0.412518903
112	0.4118159802
113	0.4101362511
114	0.4092176518
115	0.4087859605
116	0.4085986176
117	0.4080325318
118	0.407441505
119	0.4068034643
120	0.4050356333
121	0.4041344881
122	0.4033714147
123	0.4022670978
124	0.4016373883
125	0.4006287358
126	0.400151397
127	0.3994642456
128	0.3987046351
129	0.3975992866
130	0.3970833307
131	0.3961799797
132	0.3950234153
133	0.394772545
134	0.3940753946
135	0.393426619
136	0.3928669022
137	0.3922777463
138	0.3916532869
139	0.390979842
140	0.3904951034
141	0.3902241793
142	0.3895555757
143	0.3891956751
144	0.3886610738
145	0.3883367598
146	0.3876458925
147	0.3870740739
148	0.3866458704
149	0.3862786835
150	0.3856754068
151	0.3847415234
152	0.3841789458
153	0.3839790787
154	0.3830336798
155	0.3826636136
156	0.3824282429
157	0.3816766364
158	0.3812828498
159	0.3807326492
160	0.38008856
161	0.3793150787
162	0.378894883
163	0.3785081551
164	0.3777737163
165	0.37754169
166	0.3768435349
167	0.3756670545
168	0.3748539756
169	0.37396017
170	0.3733368626
171	0.3728826927
172	0.3719190442
173	0.3714794781
174	0.3709102795
175	0.3705328991
176	0.3698712247
177	0.3693197121
178	0.3690743728
179	0.3686884835
180	0.3681854558
181	0.3673051639
182	0.3668314685
183	0.3658729168
184	0.3653621889
185	0.364808392
186	0.3642797925
187	0.3636494171
188	0.3632744666
189	0.3625912845
190	0.36163213
191	0.3608063142
192	0.360109738
193	0.3595621623
194	0.3586158359
195	0.3581320997
196	0.357602023
197	0.3570141158
198	0.3565243769
199	0.356072093
200	0.355442648
201	0.3549931184
202	0.3542565846
203	0.3536352554
204	0.3529812118
205	0.3520837345
206	0.3515002616
207	0.3507830295
208	0.3501900745
209	0.349714871
210	0.3491005259
211	0.348435647
212	0.3477755485
213	0.3471972809
214	0.346403397
215	0.34532496
216	0.344953373
217	0.3443242926
218	0.3437506852
219	0.3433456513
220	0.3422262198
221	0.3417650116
222	0.3411146996
223	0.3406968274
224	0.3397940914
225	0.3387798192
226	0.3378347821
227	0.3373573007
228	0.3365273464
229	0.3356356594
230	0.3348341002
231	0.3340373002
232	0.3331983662
233	0.3324670328
234	0.3317193401
235	0.3310813738
236	0.3302009592
237	0.3290260097
238	0.3283420622
239	0.3278535682
240	0.327342291
241	0.326568633
242	0.3259521232
243	0.325517843
244	0.324651463
245	0.3236368205
246	0.3230805503
247	0.322265319
248	0.3216280303
249	0.3207663315
250	0.3199583055
251	0.3193314569
252	0.3188877028
253	0.3182562801
254	0.3175157697
255	0.3169015954
256	0.3163560795
257	0.315533079
258	0.3149438881
259	0.3141837732
260	0.3136740034
261	0.3129035394
262	0.3123012505
263	0.3118782612
264	0.3110443678
265	0.3105253022
266	0.3099058995
267	0.3089900387
268	0.3084619873
269	0.3077722491
270	0.3072125594
271	0.3066966998
272	0.3061931497
273	0.3053579648
274	0.3047350201
275	0.3042421264
276	0.3034946105
277	0.3028934459
278	0.3021130306
279	0.3014382619
280	0.3008601946
281	0.3002443576
282	0.2996801535
283	0.2991006131
284	0.2981696174
285	0.2976864002
286	0.2971325478
287	0.2967244332
288	0.2959927584
289	0.2953409042
290	0.2949205567
291	0.2945259852
292	0.2939990126
293	0.2935940354
294	0.2931755206
295	0.2926952359
296	0.2919961727
297	0.2914791628
298	0.2907714716
299	0.2903756441
